
======================================================================
num_words = 1 | batch_size = 20
Baseline | pred='s' | pos_acc=1/1 (100.0%) | 344tok | 1.60s
CoT      | pred='yt' | pos_acc=1/2 (50.0%) | 372tok | 1.47s
L2M      | pred='ye' | pos_acc=2/2 (100.0%) | 507tok | 1.54s
L2M-DV   | pred='ye' | pos_acc=2/2 (100.0%) | 725tok | 2.59s
Baseline | pred='nn' | pos_acc=1/2 (50.0%) | 345tok | 0.75s
CoT      | pred='nn' | pos_acc=1/2 (50.0%) | 370tok | 0.92s
L2M      | pred='ny' | pos_acc=2/2 (100.0%) | 525tok | 2.23s
L2M-DV   | pred='ny' | pos_acc=2/2 (100.0%) | 775tok | 3.54s
Baseline | pred='yt' | pos_acc=2/2 (100.0%) | 346tok | 1.32s
CoT      | pred='yt' | pos_acc=2/2 (100.0%) | 371tok | 1.25s
L2M      | pred='yt' | pos_acc=2/2 (100.0%) | 510tok | 1.92s
L2M-DV   | pred='yt' | pos_acc=2/2 (100.0%) | 726tok | 2.99s
Baseline | pred='mc' | pos_acc=1/2 (50.0%) | 347tok | 1.28s
CoT      | pred='mc' | pos_acc=1/2 (50.0%) | 372tok | 1.14s
L2M      | pred='my' | pos_acc=2/2 (100.0%) | 545tok | 2.21s
L2M-DV   | pred='my' | pos_acc=2/2 (100.0%) | 771tok | 3.00s
Baseline | pred='nn' | pos_acc=1/2 (50.0%) | 346tok | 0.83s
CoT      | pred='nn' | pos_acc=1/2 (50.0%) | 371tok | 1.67s
L2M      | pred='ny' | pos_acc=2/2 (100.0%) | 510tok | 1.90s
L2M-DV   | pred='ny' | pos_acc=2/2 (100.0%) | 772tok | 3.73s
Baseline | pred='yt' | pos_acc=1/2 (50.0%) | 348tok | 0.84s
CoT      | pred='yt' | pos_acc=1/2 (50.0%) | 373tok | 0.72s
L2M      | pred='ym' | pos_acc=2/2 (100.0%) | 512tok | 1.41s
L2M-DV   | pred='ym' | pos_acc=2/2 (100.0%) | 776tok | 3.89s
Baseline | pred='rr' | pos_acc=1/2 (50.0%) | 346tok | 1.21s
CoT      | pred='rr' | pos_acc=1/2 (50.0%) | 371tok | 0.87s
L2M      | pred='rn' | pos_acc=2/2 (100.0%) | 506tok | 1.37s
L2M-DV   | pred='rn' | pos_acc=2/2 (100.0%) | 723tok | 3.25s
Baseline | pred='yy' | pos_acc=2/2 (100.0%) | 346tok | 1.25s
CoT      | pred='yy' | pos_acc=2/2 (100.0%) | 371tok | 1.41s
L2M      | pred='yy' | pos_acc=2/2 (100.0%) | 510tok | 1.22s
L2M-DV   | pred='yy' | pos_acc=2/2 (100.0%) | 770tok | 3.58s
Baseline | pred='ye' | pos_acc=2/2 (100.0%) | 347tok | 1.23s
CoT      | pred='ye' | pos_acc=2/2 (100.0%) | 372tok | 1.42s
L2M      | pred='ye' | pos_acc=2/2 (100.0%) | 507tok | 1.60s
L2M-DV   | pred='yy' | pos_acc=1/2 (50.0%) | 723tok | 3.11s
Baseline | pred='ly' | pos_acc=1/2 (50.0%) | 346tok | 0.92s
CoT      | pred='ly' | pos_acc=1/2 (50.0%) | 371tok | 0.87s
L2M      | pred='yy' | pos_acc=2/2 (100.0%) | 510tok | 1.46s
L2M-DV   | pred='yy' | pos_acc=2/2 (100.0%) | 729tok | 2.35s
Baseline | pred='gn' | pos_acc=2/2 (100.0%) | 343tok | 0.68s
CoT      | pred='gn' | pos_acc=2/2 (100.0%) | 368tok | 0.88s
L2M      | pred='gn' | pos_acc=2/2 (100.0%) | 503tok | 1.04s
L2M-DV   | pred='gn' | pos_acc=2/2 (100.0%) | 735tok | 3.75s
Baseline | pred='ry' | pos_acc=2/2 (100.0%) | 345tok | 0.95s
CoT      | pred='ry' | pos_acc=2/2 (100.0%) | 370tok | 1.27s
L2M      | pred='ry' | pos_acc=2/2 (100.0%) | 532tok | 1.44s
L2M-DV   | pred='ry' | pos_acc=2/2 (100.0%) | 768tok | 4.04s
Baseline | pred='et' | pos_acc=1/2 (50.0%) | 349tok | 1.22s
CoT      | pred='et' | pos_acc=1/2 (50.0%) | 374tok | 0.97s
L2M      | pred='ee' | pos_acc=2/2 (100.0%) | 509tok | 3.09s
L2M-DV   | pred='ee' | pos_acc=2/2 (100.0%) | 732tok | 3.07s
Baseline | pred='yg' | pos_acc=1/2 (50.0%) | 345tok | 0.94s
CoT      | pred='yg' | pos_acc=1/2 (50.0%) | 370tok | 0.77s
L2M      | pred='yx' | pos_acc=2/2 (100.0%) | 510tok | 1.40s
L2M-DV   | pred='yx' | pos_acc=2/2 (100.0%) | 772tok | 3.43s
Baseline | pred='yn' | pos_acc=1/2 (50.0%) | 345tok | 1.64s
CoT      | pred='ye' | pos_acc=2/2 (100.0%) | 370tok | 0.72s
L2M      | pred='ye' | pos_acc=2/2 (100.0%) | 505tok | 1.50s
L2M-DV   | pred='ee' | pos_acc=1/2 (50.0%) | 724tok | 2.86s
Baseline | pred='ng' | pos_acc=1/2 (50.0%) | 344tok | 0.75s
CoT      | pred='ny' | pos_acc=2/2 (100.0%) | 369tok | 0.82s
L2M      | pred='ny' | pos_acc=2/2 (100.0%) | 508tok | 2.12s
L2M-DV   | pred='ny' | pos_acc=2/2 (100.0%) | 722tok | 2.23s
Baseline | pred='no' | pos_acc=1/2 (50.0%) | 347tok | 0.92s
CoT      | pred='ng' | pos_acc=1/2 (50.0%) | 372tok | 1.58s
L2M      | pred='ny' | pos_acc=2/2 (100.0%) | 511tok | 1.37s
L2M-DV   | pred='ny' | pos_acc=2/2 (100.0%) | 730tok | 2.52s
Baseline | pred='nn' | pos_acc=1/2 (50.0%) | 347tok | 1.30s
CoT      | pred='nn' | pos_acc=1/2 (50.0%) | 372tok | 1.03s
L2M      | pred='nc' | pos_acc=2/2 (100.0%) | 511tok | 1.66s
L2M-DV   | pred='nc' | pos_acc=2/2 (100.0%) | 727tok | 2.85s

### Batch Summary (n_words=2)
| Strategy | Accuracy | Tokens | Avg Time |
|----------|----------|--------|----------|
| Baseline |  67.50% | 6,919 | 1.139s |
| CoT      |  70.00% | 7,419 | 1.112s |
| L2M      | 100.00% | 10,245 | 1.649s |
| L2M-DV   |  95.00% | 14,881 | 3.160s |

======================================================================
num_words = 3 | batch_size = 20
Baseline | pred='sns' | pos_acc=1/3 (33.3%) | 349tok | 1.02s
CoT      | pred='sns' | pos_acc=1/3 (33.3%) | 374tok | 1.31s
L2M      | pred='sln' | pos_acc=3/3 (100.0%) | 518tok | 1.36s
L2M-DV   | pred='sln' | pos_acc=3/3 (100.0%) | 725tok | 2.34s
Baseline | pred='lnn' | pos_acc=2/3 (66.7%) | 352tok | 1.21s
CoT      | pred='lnn' | pos_acc=2/3 (66.7%) | 377tok | 1.13s
L2M      | pred='ynn' | pos_acc=3/3 (100.0%) | 520tok | 1.50s
L2M-DV   | pred='ynn' | pos_acc=3/3 (100.0%) | 738tok | 1.94s
Baseline | pred='nyr' | pos_acc=2/3 (66.7%) | 348tok | 0.71s
CoT      | pred='nyr' | pos_acc=2/3 (66.7%) | 373tok | 0.97s
L2M      | pred='nyy' | pos_acc=3/3 (100.0%) | 516tok | 1.18s
L2M-DV   | pred='nyy' | pos_acc=3/3 (100.0%) | 727tok | 1.97s
Baseline | pred='yry' | pos_acc=2/3 (66.7%) | 350tok | 1.14s
CoT      | pred='yyy' | pos_acc=3/3 (100.0%) | 375tok | 0.89s
L2M      | pred='yyy' | pos_acc=3/3 (100.0%) | 518tok | 1.43s
L2M-DV   | pred='yyy' | pos_acc=3/3 (100.0%) | 727tok | 2.28s
Baseline | pred='yms' | pos_acc=2/3 (66.7%) | 350tok | 1.07s
CoT      | pred='yms' | pos_acc=2/3 (66.7%) | 375tok | 0.93s
L2M      | pred='ymy' | pos_acc=3/3 (100.0%) | 518tok | 1.65s
L2M-DV   | pred='ymy' | pos_acc=3/3 (100.0%) | 727tok | 1.46s
Baseline | pred='nen' | pos_acc=1/3 (33.3%) | 351tok | 0.69s
CoT      | pred='non' | pos_acc=1/3 (33.3%) | 376tok | 0.82s
L2M      | pred='nye' | pos_acc=3/3 (100.0%) | 519tok | 1.55s
L2M-DV   | pred='nye' | pos_acc=3/3 (100.0%) | 785tok | 3.29s
Baseline | pred='lyt' | pos_acc=1/3 (33.3%) | 351tok | 0.94s
CoT      | pred='lyt' | pos_acc=1/3 (33.3%) | 376tok | 0.78s
L2M      | pred='yyl' | pos_acc=3/3 (100.0%) | 519tok | 1.77s
L2M-DV   | pred='yyl' | pos_acc=3/3 (100.0%) | 735tok | 2.57s
Baseline | pred='eon' | pos_acc=1/3 (33.3%) | 350tok | 1.11s
CoT      | pred='eon' | pos_acc=1/3 (33.3%) | 375tok | 1.19s
L2M      | pred='eny' | pos_acc=3/3 (100.0%) | 517tok | 1.53s
L2M-DV   | pred='eny' | pos_acc=3/3 (100.0%) | 734tok | 3.16s
Baseline | pred='mty' | pos_acc=1/3 (33.3%) | 352tok | 0.91s
CoT      | pred='lyt' | pos_acc=1/3 (33.3%) | 377tok | 0.78s
L2M      | pred='myl' | pos_acc=3/3 (100.0%) | 520tok | 1.60s
L2M-DV   | pred='myl' | pos_acc=3/3 (100.0%) | 728tok | 2.19s
Baseline | pred='yms' | pos_acc=2/3 (66.7%) | 349tok | 0.77s
CoT      | pred='yms' | pos_acc=2/3 (66.7%) | 374tok | 0.75s
L2M      | pred='ymn' | pos_acc=3/3 (100.0%) | 517tok | 1.47s
L2M-DV   | pred='ymn' | pos_acc=3/3 (100.0%) | 783tok | 4.55s
Baseline | pred='nly' | pos_acc=2/3 (66.7%) | 349tok | 0.89s
CoT      | pred='nly' | pos_acc=2/3 (66.7%) | 374tok | 0.88s
L2M      | pred='nyy' | pos_acc=3/3 (100.0%) | 517tok | 1.73s
L2M-DV   | pred='nyy' | pos_acc=3/3 (100.0%) | 783tok | 5.18s
Baseline | pred='yno' | pos_acc=2/3 (66.7%) | 350tok | 0.95s
CoT      | pred='yno' | pos_acc=2/3 (66.7%) | 375tok | 1.09s
L2M      | pred='ynl' | pos_acc=3/3 (100.0%) | 518tok | 1.56s
L2M-DV   | pred='ynl' | pos_acc=3/3 (100.0%) | 722tok | 2.02s
Baseline | pred='myy' | pos_acc=3/3 (100.0%) | 352tok | 1.26s
CoT      | pred='mty' | pos_acc=2/3 (66.7%) | 377tok | 1.28s
L2M      | pred='myy' | pos_acc=3/3 (100.0%) | 527tok | 2.01s
L2M-DV   | pred='myy' | pos_acc=3/3 (100.0%) | 787tok | 3.76s
Baseline | pred='non' | pos_acc=2/3 (66.7%) | 346tok | 0.85s
CoT      | pred='non' | pos_acc=2/3 (66.7%) | 371tok | 0.73s
L2M      | pred='nnn' | pos_acc=3/3 (100.0%) | 515tok | 2.02s
L2M-DV   | pred='nnn' | pos_acc=3/3 (100.0%) | 738tok | 2.84s
Baseline | pred='eyy' | pos_acc=3/3 (100.0%) | 351tok | 0.86s
CoT      | pred='eyy' | pos_acc=3/3 (100.0%) | 376tok | 0.95s
L2M      | pred='eyy' | pos_acc=3/3 (100.0%) | 519tok | 1.48s
L2M-DV   | pred='eyy' | pos_acc=3/3 (100.0%) | 726tok | 2.45s
Baseline | pred='nss' | pos_acc=2/3 (66.7%) | 350tok | 0.82s
CoT      | pred='nss' | pos_acc=2/3 (66.7%) | 375tok | 0.68s
L2M      | pred='nsm' | pos_acc=3/3 (100.0%) | 518tok | 3.25s
L2M-DV   | pred='nsm' | pos_acc=3/3 (100.0%) | 782tok | 3.12s
Baseline | pred='yln' | pos_acc=2/3 (66.7%) | 352tok | 0.96s
CoT      | pred='yln' | pos_acc=2/3 (66.7%) | 377tok | 0.83s
L2M      | pred='yly' | pos_acc=3/3 (100.0%) | 525tok | 1.38s
L2M-DV   | pred='yly' | pos_acc=3/3 (100.0%) | 730tok | 1.63s
Baseline | pred='lyy' | pos_acc=2/3 (66.7%) | 349tok | 0.78s
CoT      | pred='lyy' | pos_acc=2/3 (66.7%) | 374tok | 0.94s
L2M      | pred='yyy' | pos_acc=3/3 (100.0%) | 517tok | 2.25s
L2M-DV   | pred='yyy' | pos_acc=3/3 (100.0%) | 735tok | 2.71s
Baseline | pred='lnn' | pos_acc=2/3 (66.7%) | 348tok | 0.85s
CoT      | pred='lnn' | pos_acc=2/3 (66.7%) | 373tok | 0.98s
L2M      | pred='ynn' | pos_acc=3/3 (100.0%) | 516tok | 1.50s
L2M-DV   | pred='ynn' | pos_acc=3/3 (100.0%) | 724tok | 3.65s
Baseline | pred='nty' | pos_acc=1/3 (33.3%) | 347tok | 0.85s
CoT      | pred='nty' | pos_acc=1/3 (33.3%) | 372tok | 1.06s
L2M      | pred='nym' | pos_acc=3/3 (100.0%) | 515tok | 1.69s
L2M-DV   | pred='nym' | pos_acc=3/3 (100.0%) | 726tok | 2.39s

### Batch Summary (n_words=3)
| Strategy | Accuracy | Tokens | Avg Time |
|----------|----------|--------|----------|
| Baseline |  60.00% | 6,996 | 0.932s |
| CoT      |  60.00% | 7,496 | 0.949s |
| L2M      | 100.00% | 10,369 | 1.695s |
| L2M-DV   | 100.00% | 14,862 | 2.774s |

======================================================================
num_words = 4 | batch_size = 20
Baseline | pred='lnon' | pos_acc=3/4 (75.0%) | 351tok | 0.91s
CoT      | pred='lnnn' | pos_acc=4/4 (100.0%) | 377tok | 0.90s
L2M      | pred='lnnn' | pos_acc=4/4 (100.0%) | 524tok | 1.51s
L2M-DV   | pred='lnnn' | pos_acc=4/4 (100.0%) | 788tok | 2.56s
Baseline | pred='nnly' | pos_acc=3/4 (75.0%) | 352tok | 0.93s
CoT      | pred='nnly' | pos_acc=3/4 (75.0%) | 377tok | 0.93s
L2M      | pred='nnny' | pos_acc=4/4 (100.0%) | 547tok | 1.77s
L2M-DV   | pred='nnny' | pos_acc=4/4 (100.0%) | 746tok | 1.95s
Baseline | pred='yonn' | pos_acc=1/4 (25.0%) | 353tok | 0.86s
CoT      | pred='yonn' | pos_acc=1/4 (25.0%) | 378tok | 0.93s
L2M      | pred='ynys' | pos_acc=4/4 (100.0%) | 532tok | 1.93s
L2M-DV   | pred='ynys' | pos_acc=4/4 (100.0%) | 796tok | 2.82s
Baseline | pred='ylan' | pos_acc=2/4 (50.0%) | 354tok | 1.19s
CoT      | pred='ylan' | pos_acc=2/4 (50.0%) | 379tok | 0.79s
L2M      | pred='ylal' | pos_acc=2/4 (50.0%) | 535tok | 1.57s
L2M-DV   | pred='ylny' | pos_acc=4/4 (100.0%) | 737tok | 2.56s
Baseline | pred='lyyl' | pos_acc=1/4 (25.0%) | 352tok | 0.86s
CoT      | pred='lyyl' | pos_acc=1/4 (25.0%) | 377tok | 0.97s
L2M      | pred='yyny' | pos_acc=4/4 (100.0%) | 523tok | 1.82s
L2M-DV   | pred='yyny' | pos_acc=4/4 (100.0%) | 791tok | 3.97s
Baseline | pred='ylyn' | pos_acc=2/4 (50.0%) | 357tok | 0.89s
CoT      | pred='ylyn' | pos_acc=2/4 (50.0%) | 383tok | 0.76s
L2M      | pred='yyen' | pos_acc=4/4 (100.0%) | 564tok | 9.30s
L2M-DV   | pred='yyen' | pos_acc=4/4 (100.0%) | 746tok | 3.75s
Baseline | pred='nnss' | pos_acc=3/4 (75.0%) | 351tok | 0.84s
CoT      | pred='nnss' | pos_acc=3/4 (75.0%) | 376tok | 0.77s
L2M      | pred='nnsc' | pos_acc=4/4 (100.0%) | 523tok | 1.60s
L2M-DV   | pred='nnsc' | pos_acc=4/4 (100.0%) | 735tok | 2.37s
Baseline | pred='cnonm' | pos_acc=2/4 (50.0%) | 354tok | 0.90s | len_mismatch(gold=4, pred=5)
CoT      | pred='cnsmm' | pos_acc=3/4 (75.0%) | 379tok | 0.82s | len_mismatch(gold=4, pred=5)
L2M      | pred='cnom' | pos_acc=3/4 (75.0%) | 533tok | 1.50s
L2M-DV   | pred='cnnm' | pos_acc=4/4 (100.0%) | 806tok | 2.83s
Baseline | pred='snly' | pos_acc=3/4 (75.0%) | 352tok | 0.84s
CoT      | pred='snly' | pos_acc=3/4 (75.0%) | 377tok | 0.84s
L2M      | pred='snyy' | pos_acc=4/4 (100.0%) | 524tok | 1.43s
L2M-DV   | pred='snyy' | pos_acc=4/4 (100.0%) | 736tok | 2.80s
Baseline | pred='etny' | pos_acc=3/4 (75.0%) | 351tok | 0.83s
CoT      | pred='etnn' | pos_acc=2/4 (50.0%) | 376tok | 0.88s
L2M      | pred='eyny' | pos_acc=4/4 (100.0%) | 523tok | 1.49s
L2M-DV   | pred='eyny' | pos_acc=4/4 (100.0%) | 794tok | 3.89s
Baseline | pred='nvee' | pos_acc=2/4 (50.0%) | 351tok | 0.85s
CoT      | pred='nvee' | pos_acc=2/4 (50.0%) | 376tok | 0.70s
L2M      | pred='nene' | pos_acc=4/4 (100.0%) | 523tok | 1.61s
L2M-DV   | pred='nene' | pos_acc=4/4 (100.0%) | 792tok | 3.34s
Baseline | pred='lyyk' | pos_acc=2/4 (50.0%) | 356tok | 0.79s
CoT      | pred='llyg' | pos_acc=1/4 (25.0%) | 380tok | 0.87s
L2M      | pred='lyey' | pos_acc=4/4 (100.0%) | 527tok | 1.57s
L2M-DV   | pred='lyey' | pos_acc=4/4 (100.0%) | 732tok | 2.15s
Baseline | pred='ygyg' | pos_acc=2/4 (50.0%) | 350tok | 0.90s
CoT      | pred='ygyg' | pos_acc=2/4 (50.0%) | 375tok | 0.92s
L2M      | pred='yyyn' | pos_acc=4/4 (100.0%) | 521tok | 1.28s
L2M-DV   | pred='yyyn' | pos_acc=4/4 (100.0%) | 789tok | 3.66s
Baseline | pred='nyny' | pos_acc=2/4 (50.0%) | 354tok | 0.89s
CoT      | pred='noyn' | pos_acc=3/4 (75.0%) | 379tok | 0.94s
L2M      | pred='nyyn' | pos_acc=4/4 (100.0%) | 534tok | 1.57s
L2M-DV   | pred='nyyn' | pos_acc=4/4 (100.0%) | 743tok | 2.60s
Baseline | pred='mnve' | pos_acc=2/4 (50.0%) | 357tok | 0.71s
CoT      | pred='mnve' | pos_acc=2/4 (50.0%) | 382tok | 0.70s
L2M      | pred='myne' | pos_acc=4/4 (100.0%) | 529tok | 1.73s
L2M-DV   | pred='myne' | pos_acc=4/4 (100.0%) | 742tok | 2.18s
Baseline | pred='leny' | pos_acc=4/4 (100.0%) | 375tok | 0.88s
CoT      | pred='lnen' | pos_acc=1/4 (25.0%) | 377tok | 0.84s
L2M      | pred='leny' | pos_acc=4/4 (100.0%) | 524tok | 1.59s
L2M-DV   | pred='leny' | pos_acc=4/4 (100.0%) | 796tok | 3.76s
Baseline | pred='ytyl' | pos_acc=2/4 (50.0%) | 355tok | 1.04s
CoT      | pred='ytyl' | pos_acc=2/4 (50.0%) | 380tok | 0.73s
L2M      | pred='yynl' | pos_acc=4/4 (100.0%) | 536tok | 1.87s
L2M-DV   | pred='yynl' | pos_acc=4/4 (100.0%) | 740tok | 2.93s
Baseline | pred='nonn' | pos_acc=3/4 (75.0%) | 353tok | 0.98s
CoT      | pred='nonn' | pos_acc=3/4 (75.0%) | 378tok | 0.95s
L2M      | pred='nnnn' | pos_acc=4/4 (100.0%) | 534tok | 1.38s
L2M-DV   | pred='nnnn' | pos_acc=4/4 (100.0%) | 795tok | 3.02s
Baseline | pred='nnno' | pos_acc=3/4 (75.0%) | 351tok | 0.79s
CoT      | pred='nnno' | pos_acc=3/4 (75.0%) | 376tok | 1.42s
L2M      | pred='nnnn' | pos_acc=4/4 (100.0%) | 524tok | 1.95s
L2M-DV   | pred='nnnn' | pos_acc=4/4 (100.0%) | 792tok | 3.05s
Baseline | pred='nnys' | pos_acc=3/4 (75.0%) | 353tok | 1.00s
CoT      | pred='nnnx' | pos_acc=3/4 (75.0%) | 379tok | 1.24s
L2M      | pred='nnys' | pos_acc=3/4 (75.0%) | 533tok | 1.20s
L2M-DV   | pred='nnxy' | pos_acc=2/4 (50.0%) | 741tok | 1.98s

### Batch Summary (n_words=4)
| Strategy | Accuracy | Tokens | Avg Time |
|----------|----------|--------|----------|
| Baseline |  60.00% | 7,082 | 0.894s |
| CoT      |  57.50% | 7,561 | 0.894s |
| L2M      |  95.00% | 10,613 | 1.984s |
| L2M-DV   |  97.50% | 15,337 | 2.910s |

======================================================================
num_words = 5 | batch_size = 20
Baseline | pred='gnnoy' | pos_acc=3/5 (60.0%) | 357tok | 0.75s
