
======================================================================
num_words = 1 | batch_size = 20
Baseline | pred='y' | pos_acc=1/1 (100.0%) | 343tok | 1.23s
Baseline | pred='yg' | pos_acc=1/2 (50.0%) | 345tok | 1.52s
CoT      | pred='yg' | pos_acc=1/2 (50.0%) | 370tok | 0.81s
L2M      | pred='yx' | pos_acc=2/2 (100.0%) | 534tok | 1.95s
L2M-DV   | pred='yx' | pos_acc=2/2 (100.0%) | 597tok | 1.43s
Baseline | pred='ye' | pos_acc=2/2 (100.0%) | 345tok | 0.77s
CoT      | pred='ye' | pos_acc=2/2 (100.0%) | 370tok | 0.85s
L2M      | pred='ye' | pos_acc=2/2 (100.0%) | 533tok | 1.47s
L2M-DV   | pred='ye' | pos_acc=2/2 (100.0%) | 595tok | 1.27s
Baseline | pred='ng' | pos_acc=1/2 (50.0%) | 344tok | 0.88s
CoT      | pred='nn' | pos_acc=1/2 (50.0%) | 369tok | 0.68s
L2M      | pred='ny' | pos_acc=2/2 (100.0%) | 532tok | 1.35s
L2M-DV   | pred='ny' | pos_acc=2/2 (100.0%) | 592tok | 2.11s
Baseline | pred='ng' | pos_acc=1/2 (50.0%) | 347tok | 0.71s
CoT      | pred='ng' | pos_acc=1/2 (50.0%) | 372tok | 0.77s
L2M      | pred='ny' | pos_acc=2/2 (100.0%) | 535tok | 2.41s
L2M-DV   | pred='ny' | pos_acc=2/2 (100.0%) | 596tok | 1.89s
Baseline | pred='nn' | pos_acc=1/2 (50.0%) | 347tok | 0.96s
CoT      | pred='nn' | pos_acc=1/2 (50.0%) | 372tok | 0.77s
L2M      | pred='nc' | pos_acc=2/2 (100.0%) | 535tok | 1.71s
L2M-DV   | pred='nc' | pos_acc=2/2 (100.0%) | 598tok | 1.71s

### Batch Summary (n_words=2)
| Strategy | Accuracy | Tokens | Avg Time |
|----------|----------|--------|----------|
| Baseline |  67.50% | 6,919 | 0.931s |
| CoT      |  65.00% | 7,419 | 0.942s |
| L2M      | 100.00% | 10,680 | 3.305s |
| L2M-DV   | 100.00% | 11,919 | 1.668s |

======================================================================
num_words = 3 | batch_size = 20
Baseline | pred='sns' | pos_acc=1/3 (33.3%) | 349tok | 0.84s
CoT      | pred='sns' | pos_acc=1/3 (33.3%) | 374tok | 0.93s
L2M      | pred='sln' | pos_acc=3/3 (100.0%) | 557tok | 2.26s
L2M-DV   | pred='sln' | pos_acc=3/3 (100.0%) | 659tok | 2.16s
Baseline | pred='lnn' | pos_acc=2/3 (66.7%) | 352tok | 1.27s
CoT      | pred='lnn' | pos_acc=2/3 (66.7%) | 377tok | 1.27s
L2M      | pred='ynn' | pos_acc=3/3 (100.0%) | 559tok | 1.64s
L2M-DV   | pred='ynn' | pos_acc=3/3 (100.0%) | 625tok | 2.04s
Baseline | pred='nyr' | pos_acc=2/3 (66.7%) | 348tok | 0.83s
CoT      | pred='nyr' | pos_acc=2/3 (66.7%) | 373tok | 0.79s
L2M      | pred='nyy' | pos_acc=3/3 (100.0%) | 555tok | 1.71s
L2M-DV   | pred='nyy' | pos_acc=3/3 (100.0%) | 620tok | 1.64s
Baseline | pred='yyy' | pos_acc=3/3 (100.0%) | 350tok | 0.79s
CoT      | pred='yyy' | pos_acc=3/3 (100.0%) | 375tok | 0.86s
L2M      | pred='yyy' | pos_acc=3/3 (100.0%) | 557tok | 1.33s
L2M-DV   | pred='yyy' | pos_acc=3/3 (100.0%) | 666tok | 1.53s
Baseline | pred='yms' | pos_acc=2/3 (66.7%) | 350tok | 0.87s
CoT      | pred='yms' | pos_acc=2/3 (66.7%) | 375tok | 0.98s
L2M      | pred='ymy' | pos_acc=3/3 (100.0%) | 557tok | 1.28s
L2M-DV   | pred='ymy' | pos_acc=3/3 (100.0%) | 662tok | 2.06s
Baseline | pred='nen' | pos_acc=1/3 (33.3%) | 351tok | 0.77s
CoT      | pred='non' | pos_acc=1/3 (33.3%) | 376tok | 0.72s
L2M      | pred='nye' | pos_acc=3/3 (100.0%) | 558tok | 2.01s
L2M-DV   | pred='nye' | pos_acc=3/3 (100.0%) | 665tok | 2.01s
Baseline | pred='lyt' | pos_acc=1/3 (33.3%) | 351tok | 0.72s
CoT      | pred='lyt' | pos_acc=1/3 (33.3%) | 376tok | 0.86s
L2M      | pred='yyl' | pos_acc=3/3 (100.0%) | 558tok | 1.46s
L2M-DV   | pred='yyl' | pos_acc=3/3 (100.0%) | 622tok | 1.58s
Baseline | pred='eon' | pos_acc=1/3 (33.3%) | 350tok | 0.72s
CoT      | pred='eon' | pos_acc=1/3 (33.3%) | 375tok | 1.12s
L2M      | pred='eny' | pos_acc=3/3 (100.0%) | 556tok | 1.73s
L2M-DV   | pred='eny' | pos_acc=3/3 (100.0%) | 663tok | 1.74s
Baseline | pred='mty' | pos_acc=1/3 (33.3%) | 352tok | 0.68s
CoT      | pred='mty' | pos_acc=1/3 (33.3%) | 377tok | 0.92s
L2M      | pred='myl' | pos_acc=3/3 (100.0%) | 559tok | 1.72s
L2M-DV   | pred='myl' | pos_acc=3/3 (100.0%) | 664tok | 1.71s
Baseline | pred='yms' | pos_acc=2/3 (66.7%) | 349tok | 0.87s
CoT      | pred='yms' | pos_acc=2/3 (66.7%) | 374tok | 0.80s
L2M      | pred='ymn' | pos_acc=3/3 (100.0%) | 556tok | 2.34s
L2M-DV   | pred='ymn' | pos_acc=3/3 (100.0%) | 660tok | 2.28s
Baseline | pred='nly' | pos_acc=2/3 (66.7%) | 349tok | 0.86s
CoT      | pred='nys' | pos_acc=2/3 (66.7%) | 374tok | 0.84s
L2M      | pred='nyy' | pos_acc=3/3 (100.0%) | 556tok | 1.45s
L2M-DV   | pred='nyy' | pos_acc=3/3 (100.0%) | 662tok | 1.77s
Baseline | pred='yno' | pos_acc=2/3 (66.7%) | 350tok | 1.06s
CoT      | pred='yno' | pos_acc=2/3 (66.7%) | 375tok | 1.08s
L2M      | pred='ynl' | pos_acc=3/3 (100.0%) | 557tok | 2.79s
L2M-DV   | pred='ynl' | pos_acc=3/3 (100.0%) | 661tok | 2.04s
Baseline | pred='myy' | pos_acc=3/3 (100.0%) | 352tok | 0.81s
CoT      | pred='myy' | pos_acc=3/3 (100.0%) | 377tok | 0.88s
L2M      | pred='myy' | pos_acc=3/3 (100.0%) | 559tok | 1.22s
L2M-DV   | pred='myy' | pos_acc=3/3 (100.0%) | 665tok | 2.52s
Baseline | pred='non' | pos_acc=2/3 (66.7%) | 346tok | 1.27s
CoT      | pred='non' | pos_acc=2/3 (66.7%) | 371tok | 1.45s
L2M      | pred='nnn' | pos_acc=3/3 (100.0%) | 554tok | 1.24s
L2M-DV   | pred='nnn' | pos_acc=3/3 (100.0%) | 655tok | 2.08s
Baseline | pred='eyr' | pos_acc=2/3 (66.7%) | 351tok | 0.87s
CoT      | pred='eyy' | pos_acc=3/3 (100.0%) | 376tok | 1.28s
L2M      | pred='eyy' | pos_acc=3/3 (100.0%) | 558tok | 1.85s
L2M-DV   | pred='eyy' | pos_acc=3/3 (100.0%) | 668tok | 2.25s
Baseline | pred='nss' | pos_acc=2/3 (66.7%) | 350tok | 1.31s
CoT      | pred='nss' | pos_acc=2/3 (66.7%) | 375tok | 0.71s
L2M      | pred='nsm' | pos_acc=3/3 (100.0%) | 557tok | 2.50s
L2M-DV   | pred='nsm' | pos_acc=3/3 (100.0%) | 661tok | 2.46s
Baseline | pred='yln' | pos_acc=2/3 (66.7%) | 352tok | 1.02s
CoT      | pred='yln' | pos_acc=2/3 (66.7%) | 377tok | 1.02s
L2M      | pred='yly' | pos_acc=3/3 (100.0%) | 559tok | 1.33s
L2M-DV   | pred='yly' | pos_acc=3/3 (100.0%) | 626tok | 2.06s
Baseline | pred='lyy' | pos_acc=2/3 (66.7%) | 349tok | 0.84s
CoT      | pred='lyy' | pos_acc=2/3 (66.7%) | 374tok | 0.70s
L2M      | pred='yyy' | pos_acc=3/3 (100.0%) | 556tok | 1.78s
L2M-DV   | pred='yyy' | pos_acc=3/3 (100.0%) | 662tok | 1.54s
Baseline | pred='yno' | pos_acc=2/3 (66.7%) | 348tok | 0.81s
CoT      | pred='lnn' | pos_acc=2/3 (66.7%) | 373tok | 0.81s
L2M      | pred='ynn' | pos_acc=3/3 (100.0%) | 555tok | 2.32s
L2M-DV   | pred='ynn' | pos_acc=3/3 (100.0%) | 617tok | 2.44s
Baseline | pred='non' | pos_acc=1/3 (33.3%) | 346tok | 0.72s
CoT      | pred='nty' | pos_acc=1/3 (33.3%) | 372tok | 0.85s
L2M      | pred='nym' | pos_acc=3/3 (100.0%) | 554tok | 1.81s
L2M-DV   | pred='nym' | pos_acc=3/3 (100.0%) | 660tok | 2.05s

### Batch Summary (n_words=3)
| Strategy | Accuracy | Tokens | Avg Time |
|----------|----------|--------|----------|
| Baseline |  60.00% | 6,995 | 0.897s |
| CoT      |  61.67% | 7,496 | 0.944s |
| L2M      | 100.00% | 11,137 | 1.788s |
| L2M-DV   | 100.00% | 13,043 | 1.998s |

======================================================================
num_words = 4 | batch_size = 20
Baseline | pred='lnnn' | pos_acc=4/4 (100.0%) | 352tok | 0.75s
CoT      | pred='lnon' | pos_acc=3/4 (75.0%) | 376tok | 0.82s
L2M      | pred='lnnn' | pos_acc=4/4 (100.0%) | 578tok | 1.31s
L2M-DV   | pred='lnnn' | pos_acc=4/4 (100.0%) | 700tok | 2.44s
Baseline | pred='nnny' | pos_acc=4/4 (100.0%) | 352tok | 0.83s
CoT      | pred='nnly' | pos_acc=3/4 (75.0%) | 377tok | 1.05s
L2M      | pred='nnny' | pos_acc=4/4 (100.0%) | 578tok | 2.67s
L2M-DV   | pred='nnny' | pos_acc=4/4 (100.0%) | 702tok | 2.44s
Baseline | pred='yonn' | pos_acc=1/4 (25.0%) | 353tok | 0.80s
CoT      | pred='yonn' | pos_acc=1/4 (25.0%) | 378tok | 0.80s
L2M      | pred='ynys' | pos_acc=4/4 (100.0%) | 579tok | 2.05s
L2M-DV   | pred='ynys' | pos_acc=4/4 (100.0%) | 701tok | 2.27s
Baseline | pred='ylan' | pos_acc=2/4 (50.0%) | 354tok | 1.28s
CoT      | pred='ylan' | pos_acc=2/4 (50.0%) | 379tok | 1.34s
L2M      | pred='ylny' | pos_acc=4/4 (100.0%) | 581tok | 1.27s
L2M-DV   | pred='ylny' | pos_acc=4/4 (100.0%) | 703tok | 1.81s
Baseline | pred='ylyn' | pos_acc=1/4 (25.0%) | 351tok | 0.96s
CoT      | pred='ylyn' | pos_acc=1/4 (25.0%) | 376tok | 0.83s
L2M      | pred='ynny' | pos_acc=3/4 (75.0%) | 577tok | 1.33s
L2M-DV   | pred='yynn' | pos_acc=3/4 (75.0%) | 699tok | 2.35s
Baseline | pred='ylyn' | pos_acc=2/4 (50.0%) | 357tok | 0.76s
CoT      | pred='ylyn' | pos_acc=2/4 (50.0%) | 383tok | 0.63s
L2M      | pred='yyen' | pos_acc=4/4 (100.0%) | 583tok | 1.74s
L2M-DV   | pred='yyen' | pos_acc=4/4 (100.0%) | 698tok | 2.00s
Baseline | pred='nnss' | pos_acc=3/4 (75.0%) | 351tok | 0.82s
CoT      | pred='nnss' | pos_acc=3/4 (75.0%) | 376tok | 1.37s
L2M      | pred='nnsc' | pos_acc=4/4 (100.0%) | 577tok | 1.58s
L2M-DV   | pred='nnsc' | pos_acc=4/4 (100.0%) | 701tok | 2.09s
Baseline | pred='cnsn' | pos_acc=2/4 (50.0%) | 354tok | 0.74s
CoT      | pred='cnsmm' | pos_acc=3/4 (75.0%) | 379tok | 0.78s | len_mismatch(gold=4, pred=5)
L2M      | pred='cnnm' | pos_acc=4/4 (100.0%) | 579tok | 1.61s
L2M-DV   | pred='cnnm' | pos_acc=4/4 (100.0%) | 648tok | 1.82s
Baseline | pred='snly' | pos_acc=3/4 (75.0%) | 352tok | 0.74s
CoT      | pred='snly' | pos_acc=3/4 (75.0%) | 377tok | 0.77s
L2M      | pred='snyy' | pos_acc=4/4 (100.0%) | 578tok | 1.85s
L2M-DV   | pred='snyy' | pos_acc=4/4 (100.0%) | 644tok | 2.40s
Baseline | pred='eony' | pos_acc=3/4 (75.0%) | 351tok | 0.61s
CoT      | pred='etnn' | pos_acc=2/4 (50.0%) | 376tok | 1.21s
L2M      | pred='eyny' | pos_acc=4/4 (100.0%) | 577tok | 1.82s
L2M-DV   | pred='eyny' | pos_acc=4/4 (100.0%) | 697tok | 3.16s
Baseline | pred='nvee' | pos_acc=2/4 (50.0%) | 351tok | 0.90s
CoT      | pred='nvee' | pos_acc=2/4 (50.0%) | 376tok | 1.01s
L2M      | pred='nene' | pos_acc=4/4 (100.0%) | 577tok | 1.93s
L2M-DV   | pred='nene' | pos_acc=4/4 (100.0%) | 700tok | 2.62s
Baseline | pred='llyg' | pos_acc=1/4 (25.0%) | 355tok | 0.92s
CoT      | pred='lyyy' | pos_acc=3/4 (75.0%) | 380tok | 1.18s
L2M      | pred='lley' | pos_acc=3/4 (75.0%) | 581tok | 1.37s
L2M-DV   | pred='lley' | pos_acc=3/4 (75.0%) | 653tok | 1.87s
Baseline | pred='ygly' | pos_acc=1/4 (25.0%) | 349tok | 0.91s
CoT      | pred='ygyg' | pos_acc=2/4 (50.0%) | 375tok | 1.22s
L2M      | pred='yyyn' | pos_acc=4/4 (100.0%) | 575tok | 3.18s
L2M-DV   | pred='yynn' | pos_acc=3/4 (75.0%) | 643tok | 1.90s
Baseline | pred='nnyn' | pos_acc=3/4 (75.0%) | 354tok | 0.76s
CoT      | pred='nnyn' | pos_acc=3/4 (75.0%) | 379tok | 0.88s
L2M      | pred='nyyn' | pos_acc=4/4 (100.0%) | 580tok | 1.57s
L2M-DV   | pred='nyyn' | pos_acc=4/4 (100.0%) | 706tok | 2.69s
Baseline | pred='msne' | pos_acc=3/4 (75.0%) | 357tok | 0.88s
CoT      | pred='mnve' | pos_acc=2/4 (50.0%) | 382tok | 0.80s
L2M      | pred='myne' | pos_acc=4/4 (100.0%) | 583tok | 1.55s
L2M-DV   | pred='myne' | pos_acc=4/4 (100.0%) | 699tok | 3.15s
Baseline | pred='lnen' | pos_acc=1/4 (25.0%) | 352tok | 1.12s
CoT      | pred='lneny' | pos_acc=1/4 (25.0%) | 378tok | 0.79s | len_mismatch(gold=4, pred=5)
L2M      | pred='leny' | pos_acc=4/4 (100.0%) | 578tok | 3.69s
L2M-DV   | pred='leny' | pos_acc=4/4 (100.0%) | 641tok | 2.08s
Baseline | pred='ytyl' | pos_acc=2/4 (50.0%) | 355tok | 0.76s
CoT      | pred='ytyl' | pos_acc=2/4 (50.0%) | 380tok | 1.04s
L2M      | pred='ynnl' | pos_acc=3/4 (75.0%) | 580tok | 2.39s
L2M-DV   | pred='yynl' | pos_acc=4/4 (100.0%) | 702tok | 2.53s
Baseline | pred='nnno' | pos_acc=3/4 (75.0%) | 353tok | 0.92s
CoT      | pred='nonn' | pos_acc=3/4 (75.0%) | 378tok | 1.01s
L2M      | pred='nnnn' | pos_acc=4/4 (100.0%) | 580tok | 1.66s
L2M-DV   | pred='nnnn' | pos_acc=4/4 (100.0%) | 700tok | 3.37s
Baseline | pred='nnno' | pos_acc=3/4 (75.0%) | 351tok | 0.75s
CoT      | pred='nnno' | pos_acc=3/4 (75.0%) | 376tok | 1.91s
L2M      | pred='nnnn' | pos_acc=4/4 (100.0%) | 578tok | 1.70s
L2M-DV   | pred='nnnn' | pos_acc=4/4 (100.0%) | 697tok | 2.12s
Baseline | pred='nnys' | pos_acc=3/4 (75.0%) | 353tok | 1.02s
CoT      | pred='nnnx' | pos_acc=3/4 (75.0%) | 379tok | 0.97s
L2M      | pred='nnyx' | pos_acc=4/4 (100.0%) | 579tok | 1.50s
L2M-DV   | pred='nnyx' | pos_acc=4/4 (100.0%) | 701tok | 2.52s

### Batch Summary (n_words=4)
| Strategy | Accuracy | Tokens | Avg Time |
|----------|----------|--------|----------|
| Baseline |  58.75% | 7,057 | 0.860s |
| CoT      |  58.75% | 7,560 | 1.021s |
| L2M      |  96.25% | 11,578 | 1.889s |
| L2M-DV   |  96.25% | 13,735 | 2.381s |

======================================================================
num_words = 5 | batch_size = 20
Baseline | pred='yntcl' | pos_acc=3/5 (60.0%) | 359tok | 0.84s
