
======================================================================
num_words = 1 | batch_size = 20
Baseline | pred='y' | pos_acc=1/1 (100.0%) | 343tok | 1.34s
L2M      | pred='n' | pos_acc=1/1 (100.0%) | 511tok | 2.26s
L2M-DV   | pred='n' | pos_acc=1/1 (100.0%) | 729tok | 2.12s
Baseline | pred='n' | pos_acc=1/1 (100.0%) | 343tok | 1.30s
CoT      | pred='n' | pos_acc=1/1 (100.0%) | 368tok | 0.89s
L2M      | pred='n' | pos_acc=1/1 (100.0%) | 515tok | 1.54s
L2M-DV   | pred='n' | pos_acc=1/1 (100.0%) | 727tok | 2.03s
Baseline | pred='m' | pos_acc=1/1 (100.0%) | 344tok | 1.00s
CoT      | pred='m' | pos_acc=1/1 (100.0%) | 369tok | 0.86s
L2M      | pred='m' | pos_acc=1/1 (100.0%) | 495tok | 1.33s
L2M-DV   | pred='m' | pos_acc=1/1 (100.0%) | 729tok | 2.35s
Baseline | pred='y' | pos_acc=1/1 (100.0%) | 345tok | 0.81s
CoT      | pred='y' | pos_acc=1/1 (100.0%) | 370tok | 0.90s
L2M      | pred='y' | pos_acc=1/1 (100.0%) | 512tok | 1.92s
L2M-DV   | pred='y' | pos_acc=1/1 (100.0%) | 731tok | 2.82s
Baseline | pred='m' | pos_acc=1/1 (100.0%) | 346tok | 2.58s
CoT      | pred='m' | pos_acc=1/1 (100.0%) | 371tok | 0.86s
L2M      | pred='m' | pos_acc=1/1 (100.0%) | 497tok | 1.75s
L2M-DV   | pred='m' | pos_acc=1/1 (100.0%) | 704tok | 1.74s
Baseline | pred='y' | pos_acc=1/1 (100.0%) | 343tok | 0.90s
CoT      | pred='y' | pos_acc=1/1 (100.0%) | 368tok | 0.80s
L2M      | pred='y' | pos_acc=1/1 (100.0%) | 510tok | 1.73s
L2M-DV   | pred='y' | pos_acc=1/1 (100.0%) | 725tok | 2.15s
Baseline | pred='y' | pos_acc=1/1 (100.0%) | 343tok | 0.82s
CoT      | pred='y' | pos_acc=1/1 (100.0%) | 368tok | 0.83s
L2M      | pred='y' | pos_acc=1/1 (100.0%) | 494tok | 1.75s
L2M-DV   | pred='y' | pos_acc=1/1 (100.0%) | 728tok | 2.86s
Baseline | pred='n' | pos_acc=1/1 (100.0%) | 343tok | 0.77s
CoT      | pred='n' | pos_acc=1/1 (100.0%) | 368tok | 0.88s
L2M      | pred='n' | pos_acc=1/1 (100.0%) | 494tok | 1.90s
L2M-DV   | pred='n' | pos_acc=1/1 (100.0%) | 728tok | 3.89s
Baseline | pred='s' | pos_acc=1/1 (100.0%) | 344tok | 0.91s
CoT      | pred='s' | pos_acc=1/1 (100.0%) | 369tok | 0.80s
L2M      | pred='s' | pos_acc=1/1 (100.0%) | 495tok | 1.49s
L2M-DV   | pred='s' | pos_acc=1/1 (100.0%) | 730tok | 2.14s
Baseline | pred='n' | pos_acc=1/1 (100.0%) | 344tok | 1.28s
CoT      | pred='n' | pos_acc=1/1 (100.0%) | 369tok | 0.61s
L2M      | pred='n' | pos_acc=1/1 (100.0%) | 495tok | 1.19s
L2M-DV   | pred='n' | pos_acc=1/1 (100.0%) | 728tok | 2.37s
Baseline | pred='n' | pos_acc=1/1 (100.0%) | 344tok | 0.84s
CoT      | pred='n' | pos_acc=1/1 (100.0%) | 369tok | 0.74s
L2M      | pred='n' | pos_acc=1/1 (100.0%) | 495tok | 1.25s
L2M-DV   | pred='n' | pos_acc=1/1 (100.0%) | 729tok | 3.59s
Baseline | pred='y' | pos_acc=1/1 (100.0%) | 343tok | 1.86s
CoT      | pred='y' | pos_acc=1/1 (100.0%) | 368tok | 0.92s
L2M      | pred='y' | pos_acc=1/1 (100.0%) | 515tok | 2.48s
L2M-DV   | pred='y' | pos_acc=1/1 (100.0%) | 727tok | 2.09s
Baseline | pred='n' | pos_acc=1/1 (100.0%) | 345tok | 0.78s
CoT      | pred='n' | pos_acc=1/1 (100.0%) | 370tok | 0.81s
L2M      | pred='n' | pos_acc=1/1 (100.0%) | 496tok | 1.25s
L2M-DV   | pred='n' | pos_acc=1/1 (100.0%) | 702tok | 1.69s

### Batch Summary (n_words=1)
| Strategy | Accuracy | Tokens | Avg Time |
|----------|----------|--------|----------|
| Baseline | 100.00% | 6,876 | 1.165s |
| CoT      | 100.00% | 7,376 | 0.870s |
| L2M      | 100.00% | 10,063 | 1.666s |
| L2M-DV   | 100.00% | 14,537 | 2.628s |

======================================================================
num_words = 2 | batch_size = 20
Baseline | pred='nn' | pos_acc=2/2 (100.0%) | 344tok | 0.72s
CoT      | pred='nn' | pos_acc=2/2 (100.0%) | 369tok | 0.68s
L2M      | pred='nn' | pos_acc=2/2 (100.0%) | 504tok | 1.20s
L2M-DV   | pred='nn' | pos_acc=2/2 (100.0%) | 763tok | 1.84s
Baseline | pred='ee' | pos_acc=1/2 (50.0%) | 346tok | 0.82s
CoT      | pred='ee' | pos_acc=1/2 (50.0%) | 371tok | 1.03s
L2M      | pred='en' | pos_acc=2/2 (100.0%) | 510tok | 1.35s
L2M-DV   | pred='en' | pos_acc=2/2 (100.0%) | 725tok | 2.91s
Baseline | pred='yt' | pos_acc=1/2 (50.0%) | 347tok | 0.87s
CoT      | pred='yt' | pos_acc=1/2 (50.0%) | 372tok | 1.35s
L2M      | pred='ye' | pos_acc=2/2 (100.0%) | 507tok | 2.59s
L2M-DV   | pred='ye' | pos_acc=2/2 (100.0%) | 724tok | 2.19s
Baseline | pred='nn' | pos_acc=1/2 (50.0%) | 345tok | 0.63s
CoT      | pred='nn' | pos_acc=1/2 (50.0%) | 370tok | 1.32s
L2M      | pred='ny' | pos_acc=2/2 (100.0%) | 505tok | 1.22s
L2M-DV   | pred='ny' | pos_acc=2/2 (100.0%) | 764tok | 3.43s
Baseline | pred='yt' | pos_acc=2/2 (100.0%) | 346tok | 0.75s
CoT      | pred='yt' | pos_acc=2/2 (100.0%) | 371tok | 0.85s
L2M      | pred='yt' | pos_acc=2/2 (100.0%) | 510tok | 1.86s
L2M-DV   | pred='yt' | pos_acc=2/2 (100.0%) | 724tok | 2.74s
Baseline | pred='mc' | pos_acc=1/2 (50.0%) | 347tok | 0.86s
CoT      | pred='mc' | pos_acc=1/2 (50.0%) | 372tok | 0.73s
L2M      | pred='my' | pos_acc=2/2 (100.0%) | 511tok | 1.77s
L2M-DV   | pred='my' | pos_acc=2/2 (100.0%) | 766tok | 2.88s
Baseline | pred='nn' | pos_acc=1/2 (50.0%) | 346tok | 1.05s
CoT      | pred='nn' | pos_acc=1/2 (50.0%) | 371tok | 0.94s
L2M      | pred='ny' | pos_acc=2/2 (100.0%) | 506tok | 1.77s
L2M-DV   | pred='ny' | pos_acc=2/2 (100.0%) | 772tok | 4.53s
Baseline | pred='yt' | pos_acc=1/2 (50.0%) | 348tok | 0.82s
CoT      | pred='yt' | pos_acc=1/2 (50.0%) | 373tok | 0.83s
L2M      | pred='ym' | pos_acc=2/2 (100.0%) | 508tok | 1.92s
L2M-DV   | pred='ym' | pos_acc=2/2 (100.0%) | 773tok | 4.67s
Baseline | pred='rr' | pos_acc=1/2 (50.0%) | 346tok | 0.71s
CoT      | pred='rr' | pos_acc=1/2 (50.0%) | 371tok | 0.75s
L2M      | pred='rn' | pos_acc=2/2 (100.0%) | 506tok | 1.56s
L2M-DV   | pred='rn' | pos_acc=2/2 (100.0%) | 715tok | 2.83s
Baseline | pred='yy' | pos_acc=2/2 (100.0%) | 346tok | 1.33s
CoT      | pred='yy' | pos_acc=2/2 (100.0%) | 371tok | 0.91s
L2M      | pred='yy' | pos_acc=2/2 (100.0%) | 510tok | 2.05s
L2M-DV   | pred='yy' | pos_acc=2/2 (100.0%) | 769tok | 3.05s
Baseline | pred='yn' | pos_acc=1/2 (50.0%) | 347tok | 1.22s
CoT      | pred='yn' | pos_acc=1/2 (50.0%) | 372tok | 0.93s
L2M      | pred='ye' | pos_acc=2/2 (100.0%) | 544tok | 1.35s
L2M-DV   | pred='yy' | pos_acc=1/2 (50.0%) | 724tok | 2.56s
Baseline | pred='ly' | pos_acc=1/2 (50.0%) | 346tok | 0.90s
CoT      | pred='ly' | pos_acc=1/2 (50.0%) | 371tok | 0.79s
L2M      | pred='yy' | pos_acc=2/2 (100.0%) | 510tok | 1.58s
L2M-DV   | pred='yy' | pos_acc=2/2 (100.0%) | 730tok | 2.94s
Baseline | pred='gn' | pos_acc=2/2 (100.0%) | 343tok | 1.30s
CoT      | pred='gn' | pos_acc=2/2 (100.0%) | 368tok | 0.93s
L2M      | pred='gn' | pos_acc=2/2 (100.0%) | 507tok | 2.08s
L2M-DV   | pred='gn' | pos_acc=2/2 (100.0%) | 719tok | 2.78s
Baseline | pred='ry' | pos_acc=2/2 (100.0%) | 345tok | 0.83s
CoT      | pred='ry' | pos_acc=2/2 (100.0%) | 370tok | 0.88s
L2M      | pred='ry' | pos_acc=2/2 (100.0%) | 509tok | 1.57s
L2M-DV   | pred='ry' | pos_acc=2/2 (100.0%) | 768tok | 3.37s
Baseline | pred='et' | pos_acc=1/2 (50.0%) | 349tok | 1.20s
CoT      | pred='et' | pos_acc=1/2 (50.0%) | 374tok | 1.48s
L2M      | pred='ee' | pos_acc=2/2 (100.0%) | 509tok | 1.31s
L2M-DV   | pred='ee' | pos_acc=2/2 (100.0%) | 728tok | 2.73s
Baseline | pred='yg' | pos_acc=1/2 (50.0%) | 345tok | 0.76s
CoT      | pred='yg' | pos_acc=1/2 (50.0%) | 370tok | 0.77s
L2M      | pred='yx' | pos_acc=2/2 (100.0%) | 510tok | 1.40s
L2M-DV   | pred='yy' | pos_acc=1/2 (50.0%) | 722tok | 2.74s
Baseline | pred='ye' | pos_acc=2/2 (100.0%) | 345tok | 0.95s
CoT      | pred='ye' | pos_acc=2/2 (100.0%) | 370tok | 0.87s
L2M      | pred='ye' | pos_acc=2/2 (100.0%) | 509tok | 1.51s
L2M-DV   | pred='ye' | pos_acc=2/2 (100.0%) | 721tok | 2.21s
Baseline | pred='ny' | pos_acc=2/2 (100.0%) | 344tok | 1.05s
CoT      | pred='ny' | pos_acc=2/2 (100.0%) | 369tok | 0.71s
L2M      | pred='ny' | pos_acc=2/2 (100.0%) | 508tok | 1.22s
L2M-DV   | pred='ny' | pos_acc=2/2 (100.0%) | 729tok | 2.24s
Baseline | pred='ng' | pos_acc=1/2 (50.0%) | 347tok | 1.04s
CoT      | pred='no' | pos_acc=1/2 (50.0%) | 372tok | 1.57s
L2M      | pred='ny' | pos_acc=2/2 (100.0%) | 511tok | 1.31s
L2M-DV   | pred='ny' | pos_acc=2/2 (100.0%) | 766tok | 2.29s
Baseline | pred='nn' | pos_acc=1/2 (50.0%) | 347tok | 0.81s
CoT      | pred='nn' | pos_acc=1/2 (50.0%) | 372tok | 0.71s
L2M      | pred='nc' | pos_acc=2/2 (100.0%) | 511tok | 1.48s
L2M-DV   | pred='nc' | pos_acc=2/2 (100.0%) | 727tok | 3.50s

### Batch Summary (n_words=2)
| Strategy | Accuracy | Tokens | Avg Time |
|----------|----------|--------|----------|
| Baseline |  67.50% | 6,919 | 0.931s |
| CoT      |  67.50% | 7,419 | 0.952s |
| L2M      | 100.00% | 10,205 | 1.605s |
| L2M-DV   |  95.00% | 14,829 | 2.922s |

======================================================================
num_words = 3 | batch_size = 20
Baseline | pred='lnn' | pos_acc=2/3 (66.7%) | 352tok | 1.09s
CoT      | pred='lnn' | pos_acc=2/3 (66.7%) | 377tok | 1.01s
L2M      | pred='ynn' | pos_acc=3/3 (100.0%) | 520tok | 1.55s
L2M-DV   | pred='ynn' | pos_acc=3/3 (100.0%) | 729tok | 1.91s
Baseline | pred='sns' | pos_acc=1/3 (33.3%) | 349tok | 1.01s
CoT      | pred='sns' | pos_acc=1/3 (33.3%) | 374tok | 1.01s
L2M      | pred='sln' | pos_acc=3/3 (100.0%) | 518tok | 1.31s
L2M-DV   | pred='sln' | pos_acc=3/3 (100.0%) | 783tok | 4.53s
Baseline | pred='nyr' | pos_acc=2/3 (66.7%) | 348tok | 0.70s
CoT      | pred='nyr' | pos_acc=2/3 (66.7%) | 373tok | 1.21s
L2M      | pred='nyy' | pos_acc=3/3 (100.0%) | 516tok | 1.75s
L2M-DV   | pred='nyy' | pos_acc=3/3 (100.0%) | 729tok | 3.97s
Baseline | pred='yry' | pos_acc=2/3 (66.7%) | 350tok | 1.05s
CoT      | pred='yyy' | pos_acc=3/3 (100.0%) | 375tok | 0.81s
L2M      | pred='yyy' | pos_acc=3/3 (100.0%) | 518tok | 1.78s
L2M-DV   | pred='yyy' | pos_acc=3/3 (100.0%) | 727tok | 3.58s
Baseline | pred='yms' | pos_acc=2/3 (66.7%) | 350tok | 0.86s
CoT      | pred='yms' | pos_acc=2/3 (66.7%) | 375tok | 0.91s
L2M      | pred='ymy' | pos_acc=3/3 (100.0%) | 518tok | 1.34s
L2M-DV   | pred='ymy' | pos_acc=3/3 (100.0%) | 727tok | 1.60s
Baseline | pred='nen' | pos_acc=1/3 (33.3%) | 351tok | 0.75s
CoT      | pred='nen' | pos_acc=1/3 (33.3%) | 376tok | 0.76s
L2M      | pred='nye' | pos_acc=3/3 (100.0%) | 519tok | 1.94s
L2M-DV   | pred='nye' | pos_acc=3/3 (100.0%) | 778tok | 4.91s
Baseline | pred='lyt' | pos_acc=1/3 (33.3%) | 351tok | 1.76s
CoT      | pred='lyt' | pos_acc=1/3 (33.3%) | 376tok | 0.89s
L2M      | pred='yyl' | pos_acc=3/3 (100.0%) | 519tok | 1.71s
L2M-DV   | pred='yyl' | pos_acc=3/3 (100.0%) | 735tok | 2.61s
Baseline | pred='eon' | pos_acc=1/3 (33.3%) | 350tok | 0.79s
CoT      | pred='eon' | pos_acc=1/3 (33.3%) | 375tok | 0.92s
L2M      | pred='eny' | pos_acc=3/3 (100.0%) | 541tok | 2.12s
L2M-DV   | pred='eny' | pos_acc=3/3 (100.0%) | 734tok | 3.36s
Baseline | pred='mty' | pos_acc=1/3 (33.3%) | 352tok | 1.94s
CoT      | pred='lyt' | pos_acc=1/3 (33.3%) | 377tok | 0.81s
L2M      | pred='myl' | pos_acc=3/3 (100.0%) | 528tok | 1.33s
L2M-DV   | pred='myl' | pos_acc=3/3 (100.0%) | 735tok | 3.00s
Baseline | pred='yms' | pos_acc=2/3 (66.7%) | 349tok | 0.90s
CoT      | pred='yms' | pos_acc=2/3 (66.7%) | 374tok | 1.40s
L2M      | pred='ymn' | pos_acc=3/3 (100.0%) | 517tok | 1.55s
L2M-DV   | pred='ymn' | pos_acc=3/3 (100.0%) | 733tok | 2.28s
Baseline | pred='nly' | pos_acc=2/3 (66.7%) | 349tok | 0.88s
CoT      | pred='nly' | pos_acc=2/3 (66.7%) | 374tok | 0.78s
L2M      | pred='nyy' | pos_acc=3/3 (100.0%) | 517tok | 1.59s
L2M-DV   | pred='nyy' | pos_acc=3/3 (100.0%) | 724tok | 2.14s
Baseline | pred='ynl' | pos_acc=3/3 (100.0%) | 368tok | 1.39s
CoT      | pred='yno' | pos_acc=2/3 (66.7%) | 375tok | 1.27s
L2M      | pred='ynl' | pos_acc=3/3 (100.0%) | 524tok | 1.57s
L2M-DV   | pred='ynl' | pos_acc=3/3 (100.0%) | 784tok | 3.25s
Baseline | pred='myy' | pos_acc=3/3 (100.0%) | 352tok | 0.91s
CoT      | pred='mty' | pos_acc=2/3 (66.7%) | 377tok | 0.85s
L2M      | pred='mty' | pos_acc=2/3 (66.7%) | 528tok | 2.70s
L2M-DV   | pred='myy' | pos_acc=3/3 (100.0%) | 726tok | 4.23s
Baseline | pred='non' | pos_acc=2/3 (66.7%) | 346tok | 0.74s
CoT      | pred='non' | pos_acc=2/3 (66.7%) | 371tok | 0.95s
L2M      | pred='nnn' | pos_acc=3/3 (100.0%) | 515tok | 1.14s
L2M-DV   | pred='nnn' | pos_acc=3/3 (100.0%) | 727tok | 2.11s
Baseline | pred='eyy' | pos_acc=3/3 (100.0%) | 351tok | 1.24s
CoT      | pred='eyy' | pos_acc=3/3 (100.0%) | 376tok | 0.84s
L2M      | pred='eyy' | pos_acc=3/3 (100.0%) | 528tok | 1.65s
L2M-DV   | pred='eyy' | pos_acc=3/3 (100.0%) | 789tok | 3.22s
Baseline | pred='nss' | pos_acc=2/3 (66.7%) | 350tok | 1.02s
CoT      | pred='nss' | pos_acc=2/3 (66.7%) | 375tok | 0.81s
L2M      | pred='nsm' | pos_acc=3/3 (100.0%) | 518tok | 2.27s
L2M-DV   | pred='nsm' | pos_acc=3/3 (100.0%) | 727tok | 2.22s
Baseline | pred='yln' | pos_acc=2/3 (66.7%) | 352tok | 0.98s
CoT      | pred='yln' | pos_acc=2/3 (66.7%) | 377tok | 0.72s
L2M      | pred='yly' | pos_acc=3/3 (100.0%) | 520tok | 1.55s
L2M-DV   | pred='yly' | pos_acc=3/3 (100.0%) | 728tok | 2.54s
Baseline | pred='lly' | pos_acc=1/3 (33.3%) | 348tok | 0.69s
CoT      | pred='lyy' | pos_acc=2/3 (66.7%) | 374tok | 0.66s
L2M      | pred='yyy' | pos_acc=3/3 (100.0%) | 517tok | 1.37s
L2M-DV   | pred='yyy' | pos_acc=3/3 (100.0%) | 777tok | 2.71s
Baseline | pred='lnn' | pos_acc=2/3 (66.7%) | 348tok | 1.18s
CoT      | pred='lnn' | pos_acc=2/3 (66.7%) | 373tok | 1.21s
L2M      | pred='ynn' | pos_acc=3/3 (100.0%) | 516tok | 1.78s
L2M-DV   | pred='ynn' | pos_acc=3/3 (100.0%) | 784tok | 4.19s
Baseline | pred='non' | pos_acc=1/3 (33.3%) | 346tok | 0.90s
CoT      | pred='nty' | pos_acc=1/3 (33.3%) | 372tok | 1.28s
L2M      | pred='nym' | pos_acc=3/3 (100.0%) | 515tok | 1.45s
L2M-DV   | pred='nym' | pos_acc=3/3 (100.0%) | 729tok | 2.39s

### Batch Summary (n_words=3)
| Strategy | Accuracy | Tokens | Avg Time |
|----------|----------|--------|----------|
| Baseline |  60.00% | 7,012 | 1.038s |
| CoT      |  60.00% | 7,496 | 0.955s |
| L2M      |  98.33% | 10,412 | 1.673s |
| L2M-DV   | 100.00% | 14,905 | 3.038s |

======================================================================
num_words = 4 | batch_size = 20
Baseline | pred='lnnn' | pos_acc=4/4 (100.0%) | 352tok | 0.69s
CoT      | pred='lnon' | pos_acc=3/4 (75.0%) | 376tok | 0.90s
L2M      | pred='lnnn' | pos_acc=4/4 (100.0%) | 533tok | 1.63s
L2M-DV   | pred='nnnn' | pos_acc=3/4 (75.0%) | 737tok | 2.45s
Baseline | pred='nony' | pos_acc=3/4 (75.0%) | 352tok | 0.90s
CoT      | pred='nnly' | pos_acc=3/4 (75.0%) | 377tok | 0.99s
L2M      | pred='nnny' | pos_acc=4/4 (100.0%) | 524tok | 1.83s
L2M-DV   | pred='nnny' | pos_acc=4/4 (100.0%) | 790tok | 3.65s
Baseline | pred='yonn' | pos_acc=1/4 (25.0%) | 353tok | 0.82s
CoT      | pred='yonn' | pos_acc=1/4 (25.0%) | 378tok | 0.86s
L2M      | pred='ynys' | pos_acc=4/4 (100.0%) | 533tok | 1.54s
L2M-DV   | pred='ynys' | pos_acc=4/4 (100.0%) | 730tok | 2.60s
Baseline | pred='ylan' | pos_acc=2/4 (50.0%) | 354tok | 0.92s
CoT      | pred='ylan' | pos_acc=2/4 (50.0%) | 379tok | 0.81s
L2M      | pred='ylny' | pos_acc=4/4 (100.0%) | 527tok | 2.26s
L2M-DV   | pred='ylny' | pos_acc=4/4 (100.0%) | 732tok | 2.53s
Baseline | pred='lyny' | pos_acc=3/4 (75.0%) | 351tok | 1.12s
CoT      | pred='ylyn' | pos_acc=1/4 (25.0%) | 376tok | 1.13s
L2M      | pred='yynn' | pos_acc=3/4 (75.0%) | 529tok | 2.14s
L2M-DV   | pred='yyny' | pos_acc=4/4 (100.0%) | 736tok | 2.07s
Baseline | pred='ylyn' | pos_acc=2/4 (50.0%) | 357tok | 1.43s
CoT      | pred='ylyn' | pos_acc=2/4 (50.0%) | 383tok | 0.75s
L2M      | pred='yyen' | pos_acc=4/4 (100.0%) | 529tok | 1.73s
L2M-DV   | pred='yyen' | pos_acc=4/4 (100.0%) | 739tok | 2.88s
Baseline | pred='nnsc' | pos_acc=4/4 (100.0%) | 351tok | 1.14s
CoT      | pred='nnss' | pos_acc=3/4 (75.0%) | 376tok | 1.26s
L2M      | pred='nnsc' | pos_acc=4/4 (100.0%) | 523tok | 1.56s
L2M-DV   | pred='nnsc' | pos_acc=4/4 (100.0%) | 742tok | 2.52s
Baseline | pred='cnsmm' | pos_acc=3/4 (75.0%) | 354tok | 1.04s | len_mismatch(gold=4, pred=5)
CoT      | pred='cnsmm' | pos_acc=3/4 (75.0%) | 379tok | 0.86s | len_mismatch(gold=4, pred=5)
L2M      | pred='cnom' | pos_acc=3/4 (75.0%) | 533tok | 1.30s
L2M-DV   | pred='cnnm' | pos_acc=4/4 (100.0%) | 794tok | 3.50s
Baseline | pred='snly' | pos_acc=3/4 (75.0%) | 352tok | 0.85s
CoT      | pred='snly' | pos_acc=3/4 (75.0%) | 377tok | 2.14s
L2M      | pred='snyy' | pos_acc=4/4 (100.0%) | 524tok | 2.06s
L2M-DV   | pred='snyy' | pos_acc=4/4 (100.0%) | 736tok | 2.19s
Baseline | pred='eony' | pos_acc=3/4 (75.0%) | 351tok | 0.80s
CoT      | pred='eony' | pos_acc=3/4 (75.0%) | 376tok | 1.35s
L2M      | pred='eyny' | pos_acc=4/4 (100.0%) | 523tok | 1.39s
L2M-DV   | pred='eyny' | pos_acc=4/4 (100.0%) | 741tok | 2.19s
Baseline | pred='nvee' | pos_acc=2/4 (50.0%) | 351tok | 0.77s
CoT      | pred='nvee' | pos_acc=2/4 (50.0%) | 376tok | 0.86s
L2M      | pred='nese' | pos_acc=3/4 (75.0%) | 529tok | 1.06s
L2M-DV   | pred='nene' | pos_acc=4/4 (100.0%) | 735tok | 2.66s
Baseline | pred='llyg' | pos_acc=1/4 (25.0%) | 355tok | 0.84s
CoT      | pred='lyyk' | pos_acc=2/4 (50.0%) | 381tok | 0.84s
L2M      | pred='lyey' | pos_acc=4/4 (100.0%) | 531tok | 1.81s
L2M-DV   | pred='lyey' | pos_acc=4/4 (100.0%) | 739tok | 3.50s
Baseline | pred='ygly' | pos_acc=1/4 (25.0%) | 349tok | 0.86s
CoT      | pred='ygyg' | pos_acc=2/4 (50.0%) | 375tok | 0.80s
L2M      | pred='yyyn' | pos_acc=4/4 (100.0%) | 521tok | 1.30s
L2M-DV   | pred='yyyn' | pos_acc=4/4 (100.0%) | 782tok | 2.68s
Baseline | pred='nnyn' | pos_acc=3/4 (75.0%) | 354tok | 0.93s
CoT      | pred='noyn' | pos_acc=3/4 (75.0%) | 379tok | 0.78s
L2M      | pred='nyyn' | pos_acc=4/4 (100.0%) | 526tok | 1.47s
L2M-DV   | pred='nyyn' | pos_acc=4/4 (100.0%) | 735tok | 2.06s
Baseline | pred='mnve' | pos_acc=2/4 (50.0%) | 357tok | 0.80s
CoT      | pred='msne' | pos_acc=3/4 (75.0%) | 382tok | 0.98s
L2M      | pred='myne' | pos_acc=4/4 (100.0%) | 553tok | 2.19s
L2M-DV   | pred='myne' | pos_acc=4/4 (100.0%) | 742tok | 2.92s
Baseline | pred='lneny' | pos_acc=1/4 (25.0%) | 353tok | 1.03s | len_mismatch(gold=4, pred=5)
CoT      | pred='lnen' | pos_acc=1/4 (25.0%) | 377tok | 1.01s
L2M      | pred='leny' | pos_acc=4/4 (100.0%) | 524tok | 2.04s
L2M-DV   | pred='leny' | pos_acc=4/4 (100.0%) | 788tok | 4.20s
Baseline | pred='ytyl' | pos_acc=2/4 (50.0%) | 355tok | 0.76s
CoT      | pred='ytyl' | pos_acc=2/4 (50.0%) | 380tok | 0.84s
L2M      | pred='yynl' | pos_acc=4/4 (100.0%) | 536tok | 2.31s
L2M-DV   | pred='yynl' | pos_acc=4/4 (100.0%) | 790tok | 2.51s
Baseline | pred='nonn' | pos_acc=3/4 (75.0%) | 353tok | 0.92s
CoT      | pred='nnno' | pos_acc=3/4 (75.0%) | 378tok | 1.29s
L2M      | pred='nnnn' | pos_acc=4/4 (100.0%) | 526tok | 1.39s
L2M-DV   | pred='nnnn' | pos_acc=4/4 (100.0%) | 739tok | 2.56s
Baseline | pred='nonn' | pos_acc=3/4 (75.0%) | 351tok | 0.78s
CoT      | pred='nnno' | pos_acc=3/4 (75.0%) | 376tok | 0.90s
L2M      | pred='nnnn' | pos_acc=4/4 (100.0%) | 529tok | 3.06s
L2M-DV   | pred='nnnn' | pos_acc=4/4 (100.0%) | 789tok | 3.48s
Baseline | pred='nnys' | pos_acc=3/4 (75.0%) | 353tok | 0.92s
CoT      | pred='nnnx' | pos_acc=3/4 (75.0%) | 379tok | 0.79s
L2M      | pred='nnys' | pos_acc=3/4 (75.0%) | 533tok | 1.34s
L2M-DV   | pred='nnyx' | pos_acc=4/4 (100.0%) | 798tok | 4.07s

### Batch Summary (n_words=4)
| Strategy | Accuracy | Tokens | Avg Time |
|----------|----------|--------|----------|
| Baseline |  61.25% | 7,058 | 0.916s |
| CoT      |  60.00% | 7,560 | 1.006s |
| L2M      |  95.00% | 10,586 | 1.770s |
| L2M-DV   |  98.75% | 15,114 | 2.862s |

======================================================================
num_words = 5 | batch_size = 20
Baseline | pred='gnnoy' | pos_acc=3/5 (60.0%) | 357tok | 0.92s
