
======================================================================
num_words = 1 | batch_size = 20
Baseline | pred='s' | pos_acc=1/1 (100.0%) | compared=1
Baseline | pred='yy' | pos_acc=2/2 (100.0%) | compared=2
CoT      | pred='yy' | pos_acc=2/2 (100.0%) | compared=2
L2M      | pred='yy' | pos_acc=2/2 (100.0%) | compared=2
L2M-DV   | pred='yy' | pos_acc=2/2 (100.0%) | compared=2
Baseline | pred='ye' | pos_acc=2/2 (100.0%) | compared=2
CoT      | pred='yn' | pos_acc=1/2 (50.0%) | compared=2
L2M      | pred='ye' | pos_acc=2/2 (100.0%) | compared=2
L2M-DV   | pred='ye' | pos_acc=2/2 (100.0%) | compared=2
Baseline | pred='ly' | pos_acc=1/2 (50.0%) | compared=2
CoT      | pred='ly' | pos_acc=1/2 (50.0%) | compared=2
L2M      | pred='yy' | pos_acc=2/2 (100.0%) | compared=2
L2M-DV   | pred='yy' | pos_acc=2/2 (100.0%) | compared=2
Baseline | pred='gn' | pos_acc=2/2 (100.0%) | compared=2
CoT      | pred='gn' | pos_acc=2/2 (100.0%) | compared=2
L2M      | pred='gn' | pos_acc=2/2 (100.0%) | compared=2
L2M-DV   | pred='gn' | pos_acc=2/2 (100.0%) | compared=2
Baseline | pred='ry' | pos_acc=2/2 (100.0%) | compared=2
CoT      | pred='ry' | pos_acc=2/2 (100.0%) | compared=2
L2M      | pred='ry' | pos_acc=2/2 (100.0%) | compared=2
L2M-DV   | pred='ry' | pos_acc=2/2 (100.0%) | compared=2
Baseline | pred='et' | pos_acc=1/2 (50.0%) | compared=2
CoT      | pred='et' | pos_acc=1/2 (50.0%) | compared=2
L2M      | pred='ee' | pos_acc=2/2 (100.0%) | compared=2
L2M-DV   | pred='ee' | pos_acc=2/2 (100.0%) | compared=2
Baseline | pred='yg' | pos_acc=1/2 (50.0%) | compared=2
CoT      | pred='yg' | pos_acc=1/2 (50.0%) | compared=2
L2M      | pred='yx' | pos_acc=2/2 (100.0%) | compared=2
L2M-DV   | pred='yx' | pos_acc=2/2 (100.0%) | compared=2
Baseline | pred='yn' | pos_acc=1/2 (50.0%) | compared=2
CoT      | pred='ye' | pos_acc=2/2 (100.0%) | compared=2
L2M      | pred='ye' | pos_acc=2/2 (100.0%) | compared=2
L2M-DV   | pred='ye' | pos_acc=2/2 (100.0%) | compared=2
Baseline | pred='ng' | pos_acc=1/2 (50.0%) | compared=2
CoT      | pred='nn' | pos_acc=1/2 (50.0%) | compared=2
L2M      | pred='ny' | pos_acc=2/2 (100.0%) | compared=2
L2M-DV   | pred='ny' | pos_acc=2/2 (100.0%) | compared=2
Baseline | pred='ng' | pos_acc=1/2 (50.0%) | compared=2
CoT      | pred='ng' | pos_acc=1/2 (50.0%) | compared=2
L2M      | pred='ny' | pos_acc=2/2 (100.0%) | compared=2
L2M-DV   | pred='ny' | pos_acc=2/2 (100.0%) | compared=2
Baseline | pred='nn' | pos_acc=1/2 (50.0%) | compared=2
CoT      | pred='nn' | pos_acc=1/2 (50.0%) | compared=2
L2M      | pred='nc' | pos_acc=2/2 (100.0%) | compared=2
L2M-DV   | pred='nc' | pos_acc=2/2 (100.0%) | compared=2

[Batch Summary for n_words=2]
  Baseline  : 67.50%
  CoT       : 65.00%
  L2M       : 100.00%
  L2M-DV    : 100.00%

======================================================================
num_words = 3 | batch_size = 20
Baseline | pred='sns' | pos_acc=1/3 (33.3%) | compared=3
CoT      | pred='sns' | pos_acc=1/3 (33.3%) | compared=3
L2M      | pred='sln' | pos_acc=3/3 (100.0%) | compared=3
L2M-DV   | pred='sln' | pos_acc=3/3 (100.0%) | compared=3
Baseline | pred='lnn' | pos_acc=2/3 (66.7%) | compared=3
CoT      | pred='lnn' | pos_acc=2/3 (66.7%) | compared=3
L2M      | pred='ynn' | pos_acc=3/3 (100.0%) | compared=3
L2M-DV   | pred='ynn' | pos_acc=3/3 (100.0%) | compared=3
Baseline | pred='nyr' | pos_acc=2/3 (66.7%) | compared=3
CoT      | pred='nyr' | pos_acc=2/3 (66.7%) | compared=3
L2M      | pred='nyy' | pos_acc=3/3 (100.0%) | compared=3
L2M-DV   | pred='nyy' | pos_acc=3/3 (100.0%) | compared=3
Baseline | pred='yry' | pos_acc=2/3 (66.7%) | compared=3
CoT      | pred='yry' | pos_acc=2/3 (66.7%) | compared=3
L2M      | pred='yyy' | pos_acc=3/3 (100.0%) | compared=3
L2M-DV   | pred='yyy' | pos_acc=3/3 (100.0%) | compared=3
Baseline | pred='yms' | pos_acc=2/3 (66.7%) | compared=3
CoT      | pred='yms' | pos_acc=2/3 (66.7%) | compared=3
L2M      | pred='ymy' | pos_acc=3/3 (100.0%) | compared=3
L2M-DV   | pred='ymy' | pos_acc=3/3 (100.0%) | compared=3
Baseline | pred='nen' | pos_acc=1/3 (33.3%) | compared=3
CoT      | pred='nen' | pos_acc=1/3 (33.3%) | compared=3
L2M      | pred='nye' | pos_acc=3/3 (100.0%) | compared=3
L2M-DV   | pred='nye' | pos_acc=3/3 (100.0%) | compared=3
Baseline | pred='lyy' | pos_acc=1/3 (33.3%) | compared=3
CoT      | pred='lyt' | pos_acc=1/3 (33.3%) | compared=3
L2M      | pred='yyl' | pos_acc=3/3 (100.0%) | compared=3
L2M-DV   | pred='yyl' | pos_acc=3/3 (100.0%) | compared=3
Baseline | pred='eon' | pos_acc=1/3 (33.3%) | compared=3
CoT      | pred='eon' | pos_acc=1/3 (33.3%) | compared=3
L2M      | pred='eny' | pos_acc=3/3 (100.0%) | compared=3
L2M-DV   | pred='eny' | pos_acc=3/3 (100.0%) | compared=3
Baseline | pred='msm' | pos_acc=1/3 (33.3%) | compared=3
CoT      | pred='lyt' | pos_acc=1/3 (33.3%) | compared=3
L2M      | pred='myl' | pos_acc=3/3 (100.0%) | compared=3
L2M-DV   | pred='myl' | pos_acc=3/3 (100.0%) | compared=3
Baseline | pred='ynn' | pos_acc=2/3 (66.7%) | compared=3
CoT      | pred='yms' | pos_acc=2/3 (66.7%) | compared=3
L2M      | pred='ymn' | pos_acc=3/3 (100.0%) | compared=3
L2M-DV   | pred='ymn' | pos_acc=3/3 (100.0%) | compared=3
Baseline | pred='nly' | pos_acc=2/3 (66.7%) | compared=3
CoT      | pred='nly' | pos_acc=2/3 (66.7%) | compared=3
L2M      | pred='nyy' | pos_acc=3/3 (100.0%) | compared=3
L2M-DV   | pred='nyy' | pos_acc=3/3 (100.0%) | compared=3
Baseline | pred='yno' | pos_acc=2/3 (66.7%) | compared=3
CoT      | pred='yno' | pos_acc=2/3 (66.7%) | compared=3
L2M      | pred='ynl' | pos_acc=3/3 (100.0%) | compared=3
L2M-DV   | pred='ynl' | pos_acc=3/3 (100.0%) | compared=3
Baseline | pred='myy' | pos_acc=3/3 (100.0%) | compared=3
CoT      | pred='mty' | pos_acc=2/3 (66.7%) | compared=3
L2M      | pred='myy' | pos_acc=3/3 (100.0%) | compared=3
L2M-DV   | pred='myy' | pos_acc=3/3 (100.0%) | compared=3
Baseline | pred='non' | pos_acc=2/3 (66.7%) | compared=3
CoT      | pred='non' | pos_acc=2/3 (66.7%) | compared=3
L2M      | pred='nnn' | pos_acc=3/3 (100.0%) | compared=3
L2M-DV   | pred='nnn' | pos_acc=3/3 (100.0%) | compared=3
Baseline | pred='eyr' | pos_acc=2/3 (66.7%) | compared=3
CoT      | pred='eyr' | pos_acc=2/3 (66.7%) | compared=3
L2M      | pred='eyy' | pos_acc=3/3 (100.0%) | compared=3
L2M-DV   | pred='eyy' | pos_acc=3/3 (100.0%) | compared=3
Baseline | pred='nss' | pos_acc=2/3 (66.7%) | compared=3
CoT      | pred='nss' | pos_acc=2/3 (66.7%) | compared=3
L2M      | pred='nsm' | pos_acc=3/3 (100.0%) | compared=3
L2M-DV   | pred='nsm' | pos_acc=3/3 (100.0%) | compared=3
Baseline | pred='yln' | pos_acc=2/3 (66.7%) | compared=3
CoT      | pred='yln' | pos_acc=2/3 (66.7%) | compared=3
L2M      | pred='yly' | pos_acc=3/3 (100.0%) | compared=3
L2M-DV   | pred='yly' | pos_acc=3/3 (100.0%) | compared=3
Baseline | pred='lyy' | pos_acc=2/3 (66.7%) | compared=3
CoT      | pred='lyy' | pos_acc=2/3 (66.7%) | compared=3
L2M      | pred='yyy' | pos_acc=3/3 (100.0%) | compared=3
L2M-DV   | pred='yyy' | pos_acc=3/3 (100.0%) | compared=3
Baseline | pred='lnn' | pos_acc=2/3 (66.7%) | compared=3
CoT      | pred='lnn' | pos_acc=2/3 (66.7%) | compared=3
L2M      | pred='ynn' | pos_acc=3/3 (100.0%) | compared=3
L2M-DV   | pred='ynn' | pos_acc=3/3 (100.0%) | compared=3
Baseline | pred='non' | pos_acc=1/3 (33.3%) | compared=3
CoT      | pred='nty' | pos_acc=1/3 (33.3%) | compared=3
L2M      | pred='nym' | pos_acc=3/3 (100.0%) | compared=3
L2M-DV   | pred='nym' | pos_acc=3/3 (100.0%) | compared=3

[Batch Summary for n_words=3]
  Baseline  : 58.33%
  CoT       : 56.67%
  L2M       : 100.00%
  L2M-DV    : 100.00%

======================================================================
num_words = 4 | batch_size = 20
Baseline | pred='lnon' | pos_acc=3/4 (75.0%) | compared=4
CoT      | pred='lnnn' | pos_acc=4/4 (100.0%) | compared=4
L2M      | pred='lnnn' | pos_acc=4/4 (100.0%) | compared=4
L2M-DV   | pred='lnnn' | pos_acc=4/4 (100.0%) | compared=4
Baseline | pred='nony' | pos_acc=3/4 (75.0%) | compared=4
CoT      | pred='nnny' | pos_acc=4/4 (100.0%) | compared=4
L2M      | pred='nnny' | pos_acc=4/4 (100.0%) | compared=4
L2M-DV   | pred='nnny' | pos_acc=4/4 (100.0%) | compared=4
Baseline | pred='yonn' | pos_acc=1/4 (25.0%) | compared=4
CoT      | pred='yonn' | pos_acc=1/4 (25.0%) | compared=4
L2M      | pred='ynys' | pos_acc=4/4 (100.0%) | compared=4
L2M-DV   | pred='ynys' | pos_acc=4/4 (100.0%) | compared=4
Baseline | pred='ylan' | pos_acc=2/4 (50.0%) | compared=4
CoT      | pred='ylan' | pos_acc=2/4 (50.0%) | compared=4
L2M      | pred='ylny' | pos_acc=4/4 (100.0%) | compared=4
L2M-DV   | pred='ylny' | pos_acc=4/4 (100.0%) | compared=4
Baseline | pred='lyny' | pos_acc=3/4 (75.0%) | compared=4
CoT      | pred='ylyn' | pos_acc=1/4 (25.0%) | compared=4
L2M      | pred='ynny' | pos_acc=3/4 (75.0%) | compared=4
L2M-DV   | pred='yynn' | pos_acc=3/4 (75.0%) | compared=4
Baseline | pred='ylyn' | pos_acc=2/4 (50.0%) | compared=4
CoT      | pred='ylyn' | pos_acc=2/4 (50.0%) | compared=4
L2M      | pred='yyen' | pos_acc=4/4 (100.0%) | compared=4
L2M-DV   | pred='yyen' | pos_acc=4/4 (100.0%) | compared=4
Baseline | pred='nnss' | pos_acc=3/4 (75.0%) | compared=4
CoT      | pred='nnss' | pos_acc=3/4 (75.0%) | compared=4
L2M      | pred='nnsc' | pos_acc=4/4 (100.0%) | compared=4
L2M-DV   | pred='nnsc' | pos_acc=4/4 (100.0%) | compared=4
Baseline | pred='cnsmm' | pos_acc=3/4 (75.0%) | compared=4 | len_mismatch(gold=4, pred=5)
CoT      | pred='cnsmm' | pos_acc=3/4 (75.0%) | compared=4 | len_mismatch(gold=4, pred=5)
L2M      | pred='cnnm' | pos_acc=4/4 (100.0%) | compared=4
L2M-DV   | pred='cnnm' | pos_acc=4/4 (100.0%) | compared=4
Baseline | pred='snly' | pos_acc=3/4 (75.0%) | compared=4
CoT      | pred='snly' | pos_acc=3/4 (75.0%) | compared=4
L2M      | pred='snyy' | pos_acc=4/4 (100.0%) | compared=4
L2M-DV   | pred='snyy' | pos_acc=4/4 (100.0%) | compared=4
Baseline | pred='eony' | pos_acc=3/4 (75.0%) | compared=4
CoT      | pred='eony' | pos_acc=3/4 (75.0%) | compared=4
L2M      | pred='eyny' | pos_acc=4/4 (100.0%) | compared=4
L2M-DV   | pred='eyny' | pos_acc=4/4 (100.0%) | compared=4
Baseline | pred='nvee' | pos_acc=2/4 (50.0%) | compared=4
CoT      | pred='noae' | pos_acc=2/4 (50.0%) | compared=4
L2M      | pred='nene' | pos_acc=4/4 (100.0%) | compared=4
L2M-DV   | pred='nene' | pos_acc=4/4 (100.0%) | compared=4
Baseline | pred='lyyy' | pos_acc=3/4 (75.0%) | compared=4
CoT      | pred='llyg' | pos_acc=1/4 (25.0%) | compared=4
L2M      | pred='lley' | pos_acc=3/4 (75.0%) | compared=4
L2M-DV   | pred='lley' | pos_acc=3/4 (75.0%) | compared=4
Baseline | pred='yyon' | pos_acc=3/4 (75.0%) | compared=4
CoT      | pred='ygyg' | pos_acc=2/4 (50.0%) | compared=4
L2M      | pred='yyyn' | pos_acc=4/4 (100.0%) | compared=4
L2M-DV   | pred='yynn' | pos_acc=3/4 (75.0%) | compared=4
Baseline | pred='nnyn' | pos_acc=3/4 (75.0%) | compared=4
CoT      | pred='nnyn' | pos_acc=3/4 (75.0%) | compared=4
L2M      | pred='nyyn' | pos_acc=4/4 (100.0%) | compared=4
L2M-DV   | pred='nyyn' | pos_acc=4/4 (100.0%) | compared=4
Baseline | pred='mnve' | pos_acc=2/4 (50.0%) | compared=4
CoT      | pred='mnne' | pos_acc=3/4 (75.0%) | compared=4
L2M      | pred='myne' | pos_acc=4/4 (100.0%) | compared=4
L2M-DV   | pred='myne' | pos_acc=4/4 (100.0%) | compared=4
Baseline | pred='lneny' | pos_acc=1/4 (25.0%) | compared=4 | len_mismatch(gold=4, pred=5)
CoT      | pred='lneny' | pos_acc=1/4 (25.0%) | compared=4 | len_mismatch(gold=4, pred=5)
L2M      | pred='leny' | pos_acc=4/4 (100.0%) | compared=4
L2M-DV   | pred='leny' | pos_acc=4/4 (100.0%) | compared=4
Baseline | pred='ylyn' | pos_acc=1/4 (25.0%) | compared=4
CoT      | pred='ytyl' | pos_acc=2/4 (50.0%) | compared=4
L2M      | pred='ynnl' | pos_acc=3/4 (75.0%) | compared=4
L2M-DV   | pred='yynl' | pos_acc=4/4 (100.0%) | compared=4
Baseline | pred='nonn' | pos_acc=3/4 (75.0%) | compared=4
CoT      | pred='nonn' | pos_acc=3/4 (75.0%) | compared=4
L2M      | pred='nnnn' | pos_acc=4/4 (100.0%) | compared=4
L2M-DV   | pred='nnnn' | pos_acc=4/4 (100.0%) | compared=4
Baseline | pred='nnno' | pos_acc=3/4 (75.0%) | compared=4
CoT      | pred='nnno' | pos_acc=3/4 (75.0%) | compared=4
L2M      | pred='nnnn' | pos_acc=4/4 (100.0%) | compared=4
L2M-DV   | pred='nnnn' | pos_acc=4/4 (100.0%) | compared=4
Baseline | pred='nnys' | pos_acc=3/4 (75.0%) | compared=4
CoT      | pred='nnye' | pos_acc=3/4 (75.0%) | compared=4
L2M      | pred='nnyx' | pos_acc=4/4 (100.0%) | compared=4
L2M-DV   | pred='nnyx' | pos_acc=4/4 (100.0%) | compared=4

[Batch Summary for n_words=4]
  Baseline  : 62.50%
  CoT       : 61.25%
  L2M       : 96.25%
  L2M-DV    : 96.25%

======================================================================
num_words = 5 | batch_size = 20
Baseline | pred='yntcl' | pos_acc=3/5 (60.0%) | compared=5
CoT      | pred='yntcl' | pos_acc=3/5 (60.0%) | compared=5
L2M      | pred='ynyyl' | pos_acc=5/5 (100.0%) | compared=5
L2M-DV   | pred='ynyyl' | pos_acc=5/5 (100.0%) | compared=5
Baseline | pred='gnnoy' | pos_acc=3/5 (60.0%) | compared=5
CoT      | pred='gnity' | pos_acc=3/5 (60.0%) | compared=5
L2M      | pred='gnyny' | pos_acc=5/5 (100.0%) | compared=5
L2M-DV   | pred='gnyny' | pos_acc=5/5 (100.0%) | compared=5
Baseline | pred='nnnll' | pos_acc=3/5 (60.0%) | compared=5
CoT      | pred='nnnll' | pos_acc=3/5 (60.0%) | compared=5
L2M      | pred='nnenl' | pos_acc=5/5 (100.0%) | compared=5
L2M-DV   | pred='nnenl' | pos_acc=5/5 (100.0%) | compared=5
Baseline | pred='enxyy' | pos_acc=5/5 (100.0%) | compared=5
CoT      | pred='esyyt' | pos_acc=2/5 (40.0%) | compared=5
L2M      | pred='enxyy' | pos_acc=5/5 (100.0%) | compared=5
L2M-DV   | pred='enxyy' | pos_acc=5/5 (100.0%) | compared=5
Baseline | pred='oylnn' | pos_acc=3/5 (60.0%) | compared=5
CoT      | pred='oylnn' | pos_acc=3/5 (60.0%) | compared=5
L2M      | pred='ymlnn' | pos_acc=5/5 (100.0%) | compared=5
L2M-DV   | pred='ymlnn' | pos_acc=5/5 (100.0%) | compared=5
Baseline | pred='nnlno' | pos_acc=3/5 (60.0%) | compared=5
CoT      | pred='nnlno' | pos_acc=3/5 (60.0%) | compared=5
L2M      | pred='nnyny' | pos_acc=5/5 (100.0%) | compared=5
L2M-DV   | pred='nnyny' | pos_acc=5/5 (100.0%) | compared=5
Baseline | pred='nyrln' | pos_acc=3/5 (60.0%) | compared=5
CoT      | pred='nyrln' | pos_acc=3/5 (60.0%) | compared=5
L2M      | pred='nyylm' | pos_acc=5/5 (100.0%) | compared=5
L2M-DV   | pred='nyylm' | pos_acc=5/5 (100.0%) | compared=5
Baseline | pred='nonnn' | pos_acc=4/5 (80.0%) | compared=5
CoT      | pred='nnnot' | pos_acc=2/5 (40.0%) | compared=5
L2M      | pred='nennn' | pos_acc=5/5 (100.0%) | compared=5
L2M-DV   | pred='nennn' | pos_acc=5/5 (100.0%) | compared=5
Baseline | pred='nlyty' | pos_acc=3/5 (60.0%) | compared=5
CoT      | pred='nlyty' | pos_acc=3/5 (60.0%) | compared=5
L2M      | pred='nyyyy' | pos_acc=5/5 (100.0%) | compared=5
L2M-DV   | pred='nyyyy' | pos_acc=5/5 (100.0%) | compared=5
Baseline | pred='ytyon' | pos_acc=3/5 (60.0%) | compared=5
CoT      | pred='yynnt' | pos_acc=2/5 (40.0%) | compared=5
L2M      | pred='yyyyn' | pos_acc=5/5 (100.0%) | compared=5
L2M-DV   | pred='yyyyn' | pos_acc=5/5 (100.0%) | compared=5
Baseline | pred='nonen' | pos_acc=3/5 (60.0%) | compared=5
CoT      | pred='nonyn' | pos_acc=4/5 (80.0%) | compared=5
L2M      | pred='nsnyn' | pos_acc=5/5 (100.0%) | compared=5
L2M-DV   | pred='nsnyn' | pos_acc=5/5 (100.0%) | compared=5
Baseline | pred='ednal' | pos_acc=2/5 (40.0%) | compared=5
CoT      | pred='ennaln' | pos_acc=3/5 (60.0%) | compared=5 | len_mismatch(gold=5, pred=6)
L2M      | pred='ennln' | pos_acc=5/5 (100.0%) | compared=5
L2M-DV   | pred='ennln' | pos_acc=5/5 (100.0%) | compared=5
Baseline | pred='esete' | pos_acc=2/5 (40.0%) | compared=5
CoT      | pred='esene' | pos_acc=2/5 (40.0%) | compared=5
L2M      | pred='eleen' | pos_acc=5/5 (100.0%) | compared=5
L2M-DV   | pred='eleen' | pos_acc=5/5 (100.0%) | compared=5
Baseline | pred='eenly' | pos_acc=2/5 (40.0%) | compared=5
CoT      | pred='eynlt' | pos_acc=2/5 (40.0%) | compared=5
L2M      | pred='eymty' | pos_acc=5/5 (100.0%) | compared=5
L2M-DV   | pred='eymty' | pos_acc=5/5 (100.0%) | compared=5
Baseline | pred='mlern' | pos_acc=2/5 (40.0%) | compared=5
CoT      | pred='mlern' | pos_acc=2/5 (40.0%) | compared=5
L2M      | pred='meyln' | pos_acc=5/5 (100.0%) | compared=5
L2M-DV   | pred='melyn' | pos_acc=3/5 (60.0%) | compared=5
Baseline | pred='yntnx' | pos_acc=4/5 (80.0%) | compared=5
CoT      | pred='yntnx' | pos_acc=4/5 (80.0%) | compared=5
