
======================================================================
num_words = 1 | batch_size = 20
Baseline | pred='s' | pos_acc=1/1 (100.0%) | 344tok | 1.30s
CoT      | pred='nly' | pos_acc=2/3 (66.7%) | 374tok | 1.03s
L2M      | pred='nyy' | pos_acc=3/3 (100.0%) | 556tok | 2.08s
L2M-DV   | pred='nyy' | pos_acc=3/3 (100.0%) | 659tok | 1.63s
Baseline | pred='yno' | pos_acc=2/3 (66.7%) | 350tok | 0.77s
CoT      | pred='yno' | pos_acc=2/3 (66.7%) | 375tok | 0.96s
L2M      | pred='ynl' | pos_acc=3/3 (100.0%) | 557tok | 1.36s
L2M-DV   | pred='ynl' | pos_acc=3/3 (100.0%) | 622tok | 1.93s
Baseline | pred='mum' | pos_acc=1/3 (33.3%) | 351tok | 0.88s
CoT      | pred='mty' | pos_acc=2/3 (66.7%) | 377tok | 1.24s
L2M      | pred='myy' | pos_acc=3/3 (100.0%) | 559tok | 2.46s
L2M-DV   | pred='myy' | pos_acc=3/3 (100.0%) | 668tok | 2.55s
Baseline | pred='non' | pos_acc=2/3 (66.7%) | 346tok | 0.78s
CoT      | pred='non' | pos_acc=2/3 (66.7%) | 371tok | 1.02s
L2M      | pred='nnn' | pos_acc=3/3 (100.0%) | 554tok | 2.13s
L2M-DV   | pred='nnn' | pos_acc=3/3 (100.0%) | 655tok | 2.30s
Baseline | pred='eyy' | pos_acc=3/3 (100.0%) | 351tok | 1.04s
CoT      | pred='eyy' | pos_acc=3/3 (100.0%) | 376tok | 0.81s
L2M      | pred='eyy' | pos_acc=3/3 (100.0%) | 558tok | 2.75s
L2M-DV   | pred='eyy' | pos_acc=3/3 (100.0%) | 665tok | 2.86s
Baseline | pred='nss' | pos_acc=2/3 (66.7%) | 350tok | 0.84s
CoT      | pred='nss' | pos_acc=2/3 (66.7%) | 375tok | 1.32s
L2M      | pred='nsm' | pos_acc=3/3 (100.0%) | 557tok | 1.47s
L2M-DV   | pred='nsm' | pos_acc=3/3 (100.0%) | 664tok | 2.43s
Baseline | pred='yln' | pos_acc=2/3 (66.7%) | 352tok | 0.96s
CoT      | pred='yln' | pos_acc=2/3 (66.7%) | 377tok | 0.84s
L2M      | pred='yly' | pos_acc=3/3 (100.0%) | 559tok | 4.00s
L2M-DV   | pred='yly' | pos_acc=3/3 (100.0%) | 665tok | 2.66s
Baseline | pred='lly' | pos_acc=1/3 (33.3%) | 348tok | 0.88s
CoT      | pred='lyy' | pos_acc=2/3 (66.7%) | 374tok | 0.73s
L2M      | pred='yyy' | pos_acc=3/3 (100.0%) | 556tok | 1.54s
L2M-DV   | pred='yyy' | pos_acc=3/3 (100.0%) | 620tok | 1.33s
Baseline | pred='lnn' | pos_acc=2/3 (66.7%) | 348tok | 1.11s
CoT      | pred='lnn' | pos_acc=2/3 (66.7%) | 373tok | 1.45s
L2M      | pred='ynn' | pos_acc=3/3 (100.0%) | 555tok | 1.08s
L2M-DV   | pred='ynn' | pos_acc=3/3 (100.0%) | 617tok | 1.75s
Baseline | pred='nty' | pos_acc=1/3 (33.3%) | 347tok | 0.65s
CoT      | pred='nty' | pos_acc=1/3 (33.3%) | 372tok | 2.69s
L2M      | pred='nym' | pos_acc=3/3 (100.0%) | 554tok | 1.42s
L2M-DV   | pred='nym' | pos_acc=3/3 (100.0%) | 657tok | 2.73s

### Batch Summary (n_words=3)
| Strategy | Accuracy | Tokens | Avg Time |
|----------|----------|--------|----------|
| Baseline |  55.00% | 6,994 | 0.909s |
| CoT      |  60.00% | 7,496 | 1.036s |
| L2M      | 100.00% | 11,137 | 1.754s |
| L2M-DV   | 100.00% | 12,989 | 2.096s |

======================================================================
num_words = 4 | batch_size = 20
Baseline | pred='lnnn' | pos_acc=4/4 (100.0%) | 352tok | 0.86s
CoT      | pred='nnno' | pos_acc=2/4 (50.0%) | 376tok | 0.96s
L2M      | pred='lnnn' | pos_acc=4/4 (100.0%) | 578tok | 1.67s
L2M-DV   | pred='lnnn' | pos_acc=4/4 (100.0%) | 640tok | 2.18s
Baseline | pred='nnly' | pos_acc=3/4 (75.0%) | 352tok | 1.09s
CoT      | pred='nnly' | pos_acc=3/4 (75.0%) | 377tok | 1.24s
L2M      | pred='nnny' | pos_acc=4/4 (100.0%) | 578tok | 1.61s
L2M-DV   | pred='nnny' | pos_acc=4/4 (100.0%) | 702tok | 2.50s
Baseline | pred='yonn' | pos_acc=1/4 (25.0%) | 353tok | 0.71s
CoT      | pred='yonn' | pos_acc=1/4 (25.0%) | 378tok | 0.90s
L2M      | pred='ynys' | pos_acc=4/4 (100.0%) | 579tok | 1.64s
L2M-DV   | pred='ynys' | pos_acc=4/4 (100.0%) | 701tok | 2.04s
Baseline | pred='ylan' | pos_acc=2/4 (50.0%) | 354tok | 0.93s
CoT      | pred='ylan' | pos_acc=2/4 (50.0%) | 379tok | 0.89s
L2M      | pred='ylny' | pos_acc=4/4 (100.0%) | 581tok | 3.05s
L2M-DV   | pred='ylny' | pos_acc=4/4 (100.0%) | 651tok | 2.22s
Baseline | pred='lyyl' | pos_acc=1/4 (25.0%) | 352tok | 0.92s
CoT      | pred='ylyn' | pos_acc=1/4 (25.0%) | 376tok | 0.99s
L2M      | pred='ynny' | pos_acc=3/4 (75.0%) | 577tok | 1.33s
L2M-DV   | pred='yyny' | pos_acc=4/4 (100.0%) | 696tok | 2.86s
Baseline | pred='ylyn' | pos_acc=2/4 (50.0%) | 357tok | 1.41s
CoT      | pred='ylyn' | pos_acc=2/4 (50.0%) | 383tok | 0.88s
L2M      | pred='yyen' | pos_acc=4/4 (100.0%) | 583tok | 1.53s
L2M-DV   | pred='yyen' | pos_acc=4/4 (100.0%) | 655tok | 2.17s
Baseline | pred='nnss' | pos_acc=3/4 (75.0%) | 351tok | 0.81s
CoT      | pred='nnss' | pos_acc=3/4 (75.0%) | 376tok | 0.81s
L2M      | pred='nnsc' | pos_acc=4/4 (100.0%) | 577tok | 2.16s
L2M-DV   | pred='nnsc' | pos_acc=4/4 (100.0%) | 701tok | 1.99s
Baseline | pred='cnsmm' | pos_acc=3/4 (75.0%) | 354tok | 1.43s | len_mismatch(gold=4, pred=5)
CoT      | pred='cnsmm' | pos_acc=3/4 (75.0%) | 379tok | 0.93s | len_mismatch(gold=4, pred=5)
L2M      | pred='cnnm' | pos_acc=4/4 (100.0%) | 579tok | 1.70s
L2M-DV   | pred='cnnm' | pos_acc=4/4 (100.0%) | 703tok | 3.03s
Baseline | pred='snly' | pos_acc=3/4 (75.0%) | 352tok | 1.28s
CoT      | pred='snly' | pos_acc=3/4 (75.0%) | 377tok | 0.83s
L2M      | pred='snyy' | pos_acc=4/4 (100.0%) | 578tok | 1.34s
L2M-DV   | pred='snyy' | pos_acc=4/4 (100.0%) | 644tok | 1.77s
Baseline | pred='eony' | pos_acc=3/4 (75.0%) | 351tok | 0.86s
CoT      | pred='etnn' | pos_acc=2/4 (50.0%) | 376tok | 0.83s
L2M      | pred='eyny' | pos_acc=4/4 (100.0%) | 577tok | 1.95s
L2M-DV   | pred='eyny' | pos_acc=4/4 (100.0%) | 689tok | 1.93s
Baseline | pred='nvee' | pos_acc=2/4 (50.0%) | 351tok | 1.30s
CoT      | pred='nvee' | pos_acc=2/4 (50.0%) | 376tok | 0.71s
L2M      | pred='nene' | pos_acc=4/4 (100.0%) | 577tok | 1.53s
L2M-DV   | pred='nene' | pos_acc=4/4 (100.0%) | 700tok | 3.25s
Baseline | pred='llyg' | pos_acc=1/4 (25.0%) | 355tok | 1.35s
CoT      | pred='lyyy' | pos_acc=3/4 (75.0%) | 380tok | 0.82s
L2M      | pred='lley' | pos_acc=3/4 (75.0%) | 581tok | 1.61s
L2M-DV   | pred='lley' | pos_acc=3/4 (75.0%) | 653tok | 1.74s
Baseline | pred='yyon' | pos_acc=3/4 (75.0%) | 349tok | 1.10s
CoT      | pred='ygyg' | pos_acc=2/4 (50.0%) | 375tok | 1.36s
L2M      | pred='yyyn' | pos_acc=4/4 (100.0%) | 575tok | 2.04s
L2M-DV   | pred='yyyn' | pos_acc=4/4 (100.0%) | 694tok | 2.25s
Baseline | pred='nnyn' | pos_acc=3/4 (75.0%) | 354tok | 1.54s
CoT      | pred='noyn' | pos_acc=3/4 (75.0%) | 379tok | 0.82s
L2M      | pred='nyyn' | pos_acc=4/4 (100.0%) | 580tok | 1.72s
L2M-DV   | pred='nyyn' | pos_acc=4/4 (100.0%) | 709tok | 4.04s
Baseline | pred='msne' | pos_acc=3/4 (75.0%) | 357tok | 0.79s
CoT      | pred='mnne' | pos_acc=3/4 (75.0%) | 382tok | 0.73s
L2M      | pred='myne' | pos_acc=4/4 (100.0%) | 583tok | 2.60s
L2M-DV   | pred='myne' | pos_acc=4/4 (100.0%) | 707tok | 2.27s
Baseline | pred='lnen' | pos_acc=1/4 (25.0%) | 352tok | 0.85s
CoT      | pred='lneny' | pos_acc=1/4 (25.0%) | 378tok | 1.47s | len_mismatch(gold=4, pred=5)
L2M      | pred='leny' | pos_acc=4/4 (100.0%) | 578tok | 1.66s
L2M-DV   | pred='leny' | pos_acc=4/4 (100.0%) | 701tok | 2.89s
Baseline | pred='ytyl' | pos_acc=2/4 (50.0%) | 355tok | 0.89s
CoT      | pred='ytyl' | pos_acc=2/4 (50.0%) | 380tok | 1.19s
L2M      | pred='ynnl' | pos_acc=3/4 (75.0%) | 580tok | 2.00s
L2M-DV   | pred='yynl' | pos_acc=4/4 (100.0%) | 646tok | 2.19s
Baseline | pred='nnno' | pos_acc=3/4 (75.0%) | 353tok | 0.83s
CoT      | pred='nonn' | pos_acc=3/4 (75.0%) | 378tok | 0.83s
L2M      | pred='nnnn' | pos_acc=4/4 (100.0%) | 580tok | 3.40s
L2M-DV   | pred='nnnn' | pos_acc=4/4 (100.0%) | 700tok | 2.60s
Baseline | pred='nnno' | pos_acc=3/4 (75.0%) | 351tok | 1.26s
CoT      | pred='nnno' | pos_acc=3/4 (75.0%) | 376tok | 0.86s
L2M      | pred='nnnn' | pos_acc=4/4 (100.0%) | 578tok | 1.74s
L2M-DV   | pred='nnnn' | pos_acc=4/4 (100.0%) | 688tok | 1.92s
Baseline | pred='nnys' | pos_acc=3/4 (75.0%) | 353tok | 0.67s
CoT      | pred='nnye' | pos_acc=3/4 (75.0%) | 378tok | 0.84s
L2M      | pred='nnyx' | pos_acc=4/4 (100.0%) | 579tok | 1.76s
L2M-DV   | pred='nnyx' | pos_acc=4/4 (100.0%) | 649tok | 1.86s

### Batch Summary (n_words=4)
| Strategy | Accuracy | Tokens | Avg Time |
|----------|----------|--------|----------|
| Baseline |  61.25% | 7,058 | 1.045s |
| CoT      |  58.75% | 7,559 | 0.944s |
| L2M      |  96.25% | 11,578 | 1.903s |
| L2M-DV   |  98.75% | 13,629 | 2.386s |

======================================================================
num_words = 5 | batch_size = 20
Baseline | pred='gnnoy' | pos_acc=3/5 (60.0%) | 357tok | 1.01s
